CustomerID,CustomerName,Region,Channel,CustomerSegment,OnboardDate,CreditLimitGBP,PaymentTermsDays,SalesRepCode
29,Fictional Outlet 00029,North,Traditional Trade,Small,2023-02-27,10000,45,REP030
30,Fictional Outlet 00030,South,Traditional Trade,Medium,2023-07-23,50000,30,REP031
31,Fictional Outlet 00031,East,Traditional Trade,Small,2022-10-31,25000,60,REP032
32,Fictional Outlet 00032,West,Traditional Trade,Small,2022-08-12,10000,60,REP033
33,Fictional Outlet 00033,North,Modern Trade,Small,2023-01-12,10000,30,REP034
34,Fictional Outlet 00034,South,Modern Trade,Large,2023-09-07,50000,30,REP035
35,Fictional Outlet 00035,East,Wholesale,Large,2022-10-01,25000,60,REP036
36,Fictional Outlet 00036,West,Traditional Trade,Large,2022-03-12,50000,60,REP037
37,Fictional Outlet 00037,North,Traditional Trade,Large,2022-07-23,50000,15,REP038
38,Fictional Outlet 00038,South,Traditional Trade,Small,2023-04-13,25000,45,REP039
39,Fictional Outlet 00039,East,Modern Trade,Large,2023-09-29,50000,45,REP040
40,Fictional Outlet 00040,West,Wholesale,Small,2023-09-27,50000,45,REP041
41,Fictional Outlet 00041,North,Wholesale,Small,2023-07-01,50000,60,REP042
42,Fictional Outlet 00042,South,Ecommerce,Large,2022-07-20,25000,60,REP043
43,Fictional Outlet 00043,East,Modern Trade,Medium,2022-03-09,5000,30,REP044
44,Fictional Outlet 00044,West,Traditional Trade,Large,2023-08-12,25000,30,REP045
45,Fictional Outlet 00045,North,Traditional Trade,Small,2022-10-27,25000,15,REP046
46,Fictional Outlet 00046,South,Traditional Trade,Small,2022-03-29,50000,45,REP047
47,Fictional Outlet 00047,East,Traditional Trade,Large,2022-07-24,50000,15,REP048
48,Fictional Outlet 00048,West,Traditional Trade,Medium,2023-12-24,25000,60,REP049
49,Fictional Outlet 00049,North,Modern Trade,Small,2023-02-05,25000,30,REP050
50,Fictional Outlet 00050,South,Traditional Trade,Medium,2023-03-26,10000,30,REP051
51,Fictional Outlet 00051,East,Traditional Trade,Small,2023-06-02,50000,15,REP052
52,Fictional Outlet 00052,West,Traditional Trade,Large,2022-02-12,50000,45,REP053
53,Fictional Outlet 00053,North,Traditional Trade,Small,2023-05-13,5000,60,REP054
54,Fictional Outlet 00054,South,Ecommerce,Medium,2022-01-25,5000,45,REP055
55,Fictional Outlet 00055,East,Traditional Trade,Large,2022-11-20,25000,60,REP056
56,Fictional Outlet 00056,West,Traditional Trade,Large,2023-02-17,25000,15,REP057
57,Fictional Outlet 00057,North,Ecommerce,Small,2022-02-25,5000,30,REP058
58,Fictional Outlet 00058,South,Traditional Trade,Large,2023-11-03,10000,15,REP059
59,Fictional Outlet 00059,East,Traditional Trade,Medium,2022-09-01,10000,15,REP060
60,Fictional Outlet 00060,West,Traditional Trade,Small,2023-12-20,25000,45,REP061
61,Fictional Outlet 00061,North,Traditional Trade,Large,2023-08-03,50000,15,REP062
62,Fictional Outlet 00062,South,Traditional Trade,Medium,2023-10-27,25000,30,REP063
63,Fictional Outlet 00063,East,Traditional Trade,Medium,2022-04-18,10000,15,REP064
64,Fictional Outlet 00064,West,Traditional Trade,Large,2023-12-23,25000,30,REP065
65,Fictional Outlet 00065,North,Wholesale,Small,2023-09-19,5000,30,REP066
66,Fictional Outlet 00066,South,Wholesale,Large,2022-08-25,5000,15,REP067
67,Fictional Outlet 00067,East,Traditional Trade,Small,2023-10-30,5000,15,REP068
68,Fictional Outlet 00068,West,Wholesale,Medium,2022-05-04,5000,45,REP069
69,Fictional Outlet 00069,North,Wholesale,Small,2022-06-06,25000,60,REP070
70,Fictional Outlet 00070,South,Modern Trade,Small,2023-09-19,10000,60,REP071
71,Fictional Outlet 00071,East,Modern Trade,Large,2023-11-18,10000,30,REP072
72,Fictional Outlet 00072,West,Traditional Trade,Medium,2022-04-12,25000,30,REP073
73,Fictional Outlet 00073,North,Traditional Trade,Medium,2023-11-13,50000,15,REP074
74,Fictional Outlet 00074,South,Modern Trade,Medium,2023-06-30,5000,30,REP075
75,Fictional Outlet 00075,East,Modern Trade,Large,2023-03-18,10000,45,REP076
76,Fictional Outlet 00076,West,Traditional Trade,Large,2022-05-08,25000,45,REP077
77,Fictional Outlet 00077,North,Wholesale,Small,2022-07-20,50000,60,REP078
78,Fictional Outlet 00078,South,Ecommerce,Small,2023-06-30,5000,60,REP079
79,Fictional Outlet 00079,East,Ecommerce,Small,2022-12-03,5000,30,REP080
80,Fictional Outlet 00080,West,Traditional Trade,Small,2023-09-13,10000,45,REP001
81,Fictional Outlet 00081,North,Traditional Trade,Medium,2023-01-17,50000,15,REP002
82,Fictional Outlet 00082,South,Wholesale,Large,2023-06-12,5000,60,REP003
83,Fictional Outlet 00083,East,Wholesale,Medium,2022-12-25,10000,15,REP004
84,Fictional Outlet 00084,West,Traditional Trade,Large,2023-09-22,5000,30,REP005
85,Fictional Outlet 00085,North,Wholesale,Medium,2022-09-14,25000,45,REP006
86,Fictional Outlet 00086,South,Wholesale,Small,2023-08-05,5000,15,REP007
87,Fictional Outlet 00087,East,Traditional Trade,Large,2022-10-02,50000,45,REP008
88,Fictional Outlet 00088,West,Wholesale,Medium,2022-05-14,10000,15,REP009
89,Fictional Outlet 00089,North,Wholesale,Small,2023-09-12,25000,45,REP010
90,Fictional Outlet 00090,South,Traditional Trade,Large,2022-08-07,25000,30,REP011
91,Fictional Outlet 00091,East,Traditional Trade,Large,2022-08-15,25000,15,REP012
92,Fictional Outlet 00092,West,Traditional Trade,Medium,2023-05-20,5000,30,REP013
93,Fictional Outlet 00093,North,Traditional Trade,Large,2022-03-23,5000,60,REP014
94,Fictional Outlet 00094,South,Modern Trade,Large,2023-08-24,10000,60,REP015
95,Fictional Outlet 00095,East,Traditional Trade,Small,2023-07-14,10000,60,REP016
96,Fictional Outlet 00096,West,Traditional Trade,Large,2022-09-12,5000,60,REP017
97,Fictional Outlet 00097,North, TRADITIONAL TRADE ,Large,2022-02-07,5000,15,REP018
98,Fictional Outlet 00098,South,Modern Trade,Large,2022-05-18,10000,45,REP019
99,Fictional Outlet 00099,East,Traditional Trade,Large,2022-04-09,10000,45,REP020
100,Fictional Outlet 00100,West,Modern Trade,Large,2023-07-13,50000,15,REP021
101,Fictional Outlet 00101,North,Wholesale,Medium,2023-05-02,10000,15,REP022
102,Fictional Outlet 00102,South,Traditional Trade,Small,2022-06-28,10000,60,REP023
103,Fictional Outlet 00103,East,Traditional Trade,Medium,2023-06-23,10000,45,REP024
104,Fictional Outlet 00104,West,Ecommerce,Small,2023-05-26,5000,45,REP025
105,Fictional Outlet 00105,North,Ecommerce,Medium,2022-10-13,50000,60,REP026
106,Fictional Outlet 00106,South,Traditional Trade,Large,2023-11-03,10000,60,REP027
107,Fictional Outlet 00107,East,Traditional Trade,Small,2023-04-25,50000,15,REP028
108,Fictional Outlet 00108,West,Traditional Trade,Large,2023-12-06,10000,30,REP029
109,Fictional Outlet 00109,North,Wholesale,Large,2023-04-03,10000,45,REP030
110,Fictional Outlet 00110,South,Traditional Trade,Medium,2023-10-18,5000,30,REP031
111,Fictional Outlet 00111,East,Traditional Trade,Small,2023-06-18,10000,45,REP032
112,Fictional Outlet 00112,West,Ecommerce,Large,2023-11-10,50000,30,REP033
113,Fictional Outlet 00113,North,Traditional Trade,Large,2023-11-15,5000,15,
114,Fictional Outlet 00114,South,Traditional Trade,Large,2022-04-03,10000,45,REP035
115,Fictional Outlet 00115,East,Wholesale,Medium,2022-08-08,25000,15,REP036
116,Fictional Outlet 00116,West,Traditional Trade,Large,2023-08-19,50000,30,REP037
117,Fictional Outlet 00117,North,Ecommerce,Medium,2022-11-01,25000,15,REP038
118,Fictional Outlet 00118,South,Traditional Trade,Medium,2022-12-11,50000,60,REP039
119,Fictional Outlet 00119,East,Ecommerce,Small,2022-02-12,10000,30,REP040
120,Fictional Outlet 00120,West,Traditional Trade,Large,2022-02-21,25000,60,REP041
121,Fictional Outlet 00121,North,Traditional Trade,Small,2022-10-30,25000,30,REP042
122,Fictional Outlet 00122,South,Modern Trade,Large,2023-06-16,5000,15,REP043
123,Fictional Outlet 00123,East,Traditional Trade,Small,2022-06-12,10000,15,REP044
124,Fictional Outlet 00124,West,Modern Trade,Large,2022-11-14,10000,15,REP045
125,Fictional Outlet 00125,North,Traditional Trade,Medium,2023-03-22,50000,15,REP046
126,Fictional Outlet 00126,South,Modern Trade,Medium,2022-10-25,25000,30,REP047
127,Fictional Outlet 00127,East,Traditional Trade,Large,2023-02-27,50000,45,REP048
128,Fictional Outlet 00128,West,Traditional Trade,Large,2023-05-30,50000,60,REP049
129,Fictional Outlet 00129,North,Wholesale,Large,2023-08-03,10000,60,REP050
130,Fictional Outlet 00130,South,Traditional Trade,Large,2023-09-08,10000,30,REP051
131,Fictional Outlet 00131,East,Traditional Trade,Small,2022-05-14,5000,30,REP052
132,Fictional Outlet 00132,West,Traditional Trade,Medium,2022-02-15,5000,15,REP053
133,Fictional Outlet 00133,North,Traditional Trade,Small,2023-12-23,5000,15,REP054
134,Fictional Outlet 00134,South,Ecommerce,Large,2022-05-13,10000,60,REP055
135,Fictional Outlet 00135,East,Traditional Trade,Medium,2022-03-29,25000,30,REP056
136,Fictional Outlet 00136,West,Modern Trade,Large,2023-08-02,10000,30,REP057
137,Fictional Outlet 00137,North,Traditional Trade,Large,2023-12-11,50000,30,REP058
138,Fictional Outlet 00138,South,Traditional Trade,Small,2023-08-05,10000,60,REP059
139,Fictional Outlet 00139,East,Modern Trade,Small,2023-01-05,10000,45,REP060
140,Fictional Outlet 00140,West,Modern Trade,Large,2022-04-29,5000,45,REP061
141,Fictional Outlet 00141,North,Traditional Trade,Small,2022-04-26,25000,45,REP062
142,Fictional Outlet 00142,South,Modern Trade,Small,2023-09-30,5000,15,REP063
143,Fictional Outlet 00143,East,Traditional Trade,Small,2023-02-02,50000,15,REP064
144,Fictional Outlet 00144,West,Traditional Trade,Large,2023-04-20,5000,60,REP065
145,Fictional Outlet 00145,North,Traditional Trade,Large,2022-07-24,5000,15,REP066
146,Fictional Outlet 00146,South,Traditional Trade,Small,2023-05-12,10000,60,REP067
147,Fictional Outlet 00147,East,Traditional Trade,Large,2022-12-08,50000,15,REP068
148,Fictional Outlet 00148,West,Ecommerce,Large,2023-01-16,5000,60,REP069
149,Fictional Outlet 00149,North,Wholesale,Medium,2023-07-27,50000,30,REP070
150,Fictional Outlet 00150,South,Wholesale,Medium,2022-04-18,5000,60,REP071
151,Fictional Outlet 00151,East,Traditional Trade,Small,2023-12-04,25000,15,REP072
152,Fictional Outlet 00152,West,Ecommerce,Small,2023-01-18,25000,45,REP073
153,Fictional Outlet 00153,North,Ecommerce,Small,2022-05-04,50000,30,REP074
154,Fictional Outlet 00154,South,Traditional Trade,Large,2022-07-31,10000,30,REP075
155,Fictional Outlet 00155,East,Wholesale,Large,2022-04-19,25000,45,REP076
156,Fictional Outlet 00156,West,Wholesale,Small,2023-04-01,5000,30,REP077
157,Fictional Outlet 00157,North,Traditional Trade,Medium,2023-10-16,50000,15,REP078
158,Fictional Outlet 00158,South,Traditional Trade,Medium,2023-11-30,50000,15,REP079
159,Fictional Outlet 00159,East,Traditional Trade,Small,2023-06-27,10000,45,REP080
160,Fictional Outlet 00160,West,Traditional Trade,Large,2022-08-03,50000,60,REP001
161,Fictional Outlet 00161,North,Wholesale,Medium,2023-05-14,10000,30,REP002
162,Fictional Outlet 00162,South,Traditional Trade,Medium,2022-01-08,25000,15,REP003
163,Fictional Outlet 00163,East,Wholesale,Medium,2022-03-02,5000,45,REP004
164,Fictional Outlet 00164,West,Ecommerce,Small,2023-12-30,5000,60,REP005
165,Fictional Outlet 00165,North,Wholesale,Large,2022-11-27,10000,60,REP006
166,Fictional Outlet 00166,South,Modern Trade,Small,2023-07-28,25000,60,REP007
167,Fictional Outlet 00167,East,Traditional Trade,Large,2022-05-19,10000,45,REP008
168,Fictional Outlet 00168,West,Traditional Trade,Large,2023-02-07,50000,15,REP009
169,Fictional Outlet 00169,North,Wholesale,Large,2022-02-14,10000,45,REP010
170,Fictional Outlet 00170,South,Traditional Trade,Small,2023-10-17,5000,30,REP011
171,Fictional Outlet 00171,East,Traditional Trade,Medium,2022-10-24,50000,15,REP012
172,Fictional Outlet 00172,West,Modern Trade,Large,2023-03-13,50000,30,REP013
173,Fictional Outlet 00173,North,Traditional Trade,Small,2022-11-26,5000,15,REP014
174,Fictional Outlet 00174,South,Traditional Trade,Medium,2022-03-30,50000,45,REP015
175,Fictional Outlet 00175,East,Ecommerce,Medium,2022-09-25,5000,15,REP016
176,Fictional Outlet 00176,West,Traditional Trade,Small,2022-01-02,10000,60,REP017
177,Fictional Outlet 00177,North,Wholesale,Medium,2023-05-19,25000,45,REP018
178,Fictional Outlet 00178,South,Traditional Trade,Small,2022-12-21,50000,45,REP019
179,Fictional Outlet 00179,East,Ecommerce,Large,2023-07-30,10000,60,REP020
180,Fictional Outlet 00180,West,Traditional Trade,Small,2022-09-11,5000,15,REP021
181,Fictional Outlet 00181,North,Traditional Trade,Small,2023-09-05,5000,15,REP022
182,Fictional Outlet 00182,South,Traditional Trade,Large,2022-01-03,10000,45,REP023
183,Fictional Outlet 00183,East,Wholesale,Small,2022-03-07,5000,15,REP024
184,Fictional Outlet 00184,West,Traditional Trade,Medium,2022-03-24,5000,60,REP025
185,Fictional Outlet 00185,North,Wholesale,Medium,2022-05-02,50000,30,REP026
186,Fictional Outlet 00186,South,Wholesale,Medium,2022-03-03,50000,45,REP027
187,Fictional Outlet 00187,East,Wholesale,Small,2023-09-23,25000,45,REP028
188,Fictional Outlet 00188,West,Wholesale,Large,2022-08-29,25000,45,REP029
189,Fictional Outlet 00189,North,Ecommerce,Small,2023-03-19,25000,15,REP030
190,Fictional Outlet 00190,South,Modern Trade,Large,2022-08-13,10000,15,REP031
191,Fictional Outlet 00191,East,Traditional Trade,Large,2022-06-08,50000,45,REP032
192,Fictional Outlet 00192,West,Modern Trade,Large,2023-05-29,50000,30,REP033
193,Fictional Outlet 00193,North,Traditional Trade,Large,2022-03-11,5000,15,REP034
194,Fictional Outlet 00194,South, TRADITIONAL TRADE ,Medium,2022-05-16,10000,15,REP035
195,Fictional Outlet 00195,East,Modern Trade,Small,2022-02-23,50000,15,REP036
196,Fictional Outlet 00196,West,Wholesale,Medium,2023-01-21,5000,60,REP037
197,Fictional Outlet 00197,North,Traditional Trade,Medium,2023-05-16,25000,45,REP038
198,Fictional Outlet 00198,South,Traditional Trade,Large,2023-03-13,50000,15,REP039
199,Fictional Outlet 00199,East,Wholesale,Large,2022-12-02,25000,30,REP040
200,Fictional Outlet 00200,West,Traditional Trade,Medium,2022-02-15,10000,30,REP041
201,Fictional Outlet 00201,North,Traditional Trade,Small,2023-06-13,25000,60,REP042
202,Fictional Outlet 00202,South,Traditional Trade,Small,2022-07-22,10000,60,REP043
203,Fictional Outlet 00203,East,Wholesale,Small,2023-09-06,5000,15,REP044
204,Fictional Outlet 00204,West,Traditional Trade,Large,2023-09-17,50000,30,REP045
205,Fictional Outlet 00205,North,Traditional Trade,Small,2022-06-24,10000,30,REP046
206,Fictional Outlet 00206,South,Traditional Trade,Large,2023-12-23,25000,15,REP047
207,Fictional Outlet 00207,East,Modern Trade,Small,2023-07-12,50000,60,REP048
208,Fictional Outlet 00208,West,Modern Trade,Medium,2023-09-14,10000,30,REP049
209,Fictional Outlet 00209,North,Traditional Trade,Medium,2023-05-12,5000,60,REP050
210,Fictional Outlet 00210,South,Wholesale,Medium,2022-02-21,10000,30,REP051
211,Fictional Outlet 00211,East,Wholesale,Large,2023-03-14,10000,45,REP052
212,Fictional Outlet 00212,West,Modern Trade,Medium,2023-10-03,25000,45,REP053
213,Fictional Outlet 00213,North,Traditional Trade,Medium,2023-12-24,5000,15,REP054
214,Fictional Outlet 00214,South,Traditional Trade,Small,2022-02-14,5000,30,REP055
215,Fictional Outlet 00215,East,Traditional Trade,Medium,2022-11-28,5000,60,REP056
216,Fictional Outlet 00216,West,Wholesale,Small,2023-05-13,5000,30,REP057
217,Fictional Outlet 00217,North,Wholesale,Medium,2022-04-10,5000,60,REP058
218,Fictional Outlet 00218,South,Traditional Trade,Medium,2023-10-05,50000,30,REP059
219,Fictional Outlet 00219,East,Traditional Trade,Large,2023-05-22,50000,60,REP060
220,Fictional Outlet 00220,West,Modern Trade,Large,2023-11-26,10000,60,REP061
221,Fictional Outlet 00221,North,Modern Trade,Small,2022-04-28,50000,60,REP062
222,Fictional Outlet 00222,South,Wholesale,Large,2022-06-29,5000,60,REP063
223,Fictional Outlet 00223,East,Modern Trade,Small,2022-06-28,5000,60,REP064
224,Fictional Outlet 00224,West,Traditional Trade,Medium,2023-08-06,50000,30,REP065
225,Fictional Outlet 00225,North,Traditional Trade,Large,2023-04-28,25000,60,REP066
226,Fictional Outlet 00226,South,Traditional Trade,Large,2022-01-09,5000,45,
227,Fictional Outlet 00227,East,Traditional Trade,Small,2022-04-01,5000,45,REP068
228,Fictional Outlet 00228,West,Ecommerce,Medium,2023-02-14,25000,60,REP069
229,Fictional Outlet 00229,North,Traditional Trade,Medium,2023-08-19,50000,60,REP070
230,Fictional Outlet 00230,South,Traditional Trade,Medium,2023-12-07,50000,30,REP071
231,Fictional Outlet 00231,East,Modern Trade,Large,2023-04-19,50000,15,REP072
232,Fictional Outlet 00232,West,Wholesale,Medium,2022-06-08,5000,60,REP073
233,Fictional Outlet 00233,North,Traditional Trade,Small,2023-09-17,5000,60,REP074
234,Fictional Outlet 00234,South,Traditional Trade,Large,2023-10-04,50000,45,REP075
235,Fictional Outlet 00235,East,Traditional Trade,Small,2022-08-14,10000,45,REP076
236,Fictional Outlet 00236,West,Traditional Trade,Medium,2022-10-16,25000,60,REP077
237,Fictional Outlet 00237,North,Modern Trade,Small,2023-07-24,50000,45,REP078
238,Fictional Outlet 00238,South,Modern Trade,Small,2022-08-08,25000,60,REP079
239,Fictional Outlet 00239,East,Wholesale,Small,2022-10-28,50000,45,REP080
240,Fictional Outlet 00240,West,Wholesale,Large,2022-08-26,50000,60,REP001
241,Fictional Outlet 00241,North,Traditional Trade,Small,2023-10-26,10000,45,REP002
242,Fictional Outlet 00242,South,Traditional Trade,Small,2023-11-14,25000,15,REP003
243,Fictional Outlet 00243,East,Modern Trade,Large,2023-04-11,50000,15,REP004
244,Fictional Outlet 00244,West,Traditional Trade,Small,2022-09-25,5000,60,REP005
245,Fictional Outlet 00245,North,Traditional Trade,Large,2022-09-17,5000,15,REP006
246,Fictional Outlet 00246,South,Traditional Trade,Small,2023-07-13,5000,15,REP007
247,Fictional Outlet 00247,East,Traditional Trade,Large,2023-05-16,5000,45,REP008
248,Fictional Outlet 00248,West,Traditional Trade,Medium,2022-10-14,25000,30,REP009
249,Fictional Outlet 00249,North,Wholesale,Medium,2023-02-15,10000,30,REP010
250,Fictional Outlet 00250,South,Traditional Trade,Large,2022-07-19,50000,60,REP011
251,Fictional Outlet 00251,East,Wholesale,Large,2022-10-26,10000,30,REP012
252,Fictional Outlet 00252,West,Traditional Trade,Medium,2022-05-05,25000,15,REP013
253,Fictional Outlet 00253,North,Traditional Trade,Medium,2023-04-16,25000,30,REP014
254,Fictional Outlet 00254,South,Traditional Trade,Small,2022-04-17,50000,30,REP015
255,Fictional Outlet 00255,East,Wholesale,Large,2022-05-13,25000,45,REP016
256,Fictional Outlet 00256,West,Traditional Trade,Large,2023-08-10,10000,60,REP017
257,Fictional Outlet 00257,North,Wholesale,Small,2023-06-23,10000,15,REP018
258,Fictional Outlet 00258,South,Ecommerce,Small,2023-08-21,50000,45,REP019
259,Fictional Outlet 00259,East,Traditional Trade,Small,2022-07-15,25000,45,REP020
260,Fictional Outlet 00260,West,Traditional Trade,Medium,2023-10-23,25000,15,REP021
261,Fictional Outlet 00261,North,Traditional Trade,Medium,2022-07-13,5000,30,REP022
262,Fictional Outlet 00262,South,Traditional Trade,Small,2023-08-28,25000,45,REP023
263,Fictional Outlet 00263,East,Traditional Trade,Small,2023-04-18,25000,15,REP024
264,Fictional Outlet 00264,West,Traditional Trade,Small,2022-06-28,50000,15,REP025
265,Fictional Outlet 00265,North,Traditional Trade,Medium,2022-11-07,25000,15,REP026
266,Fictional Outlet 00266,South,Wholesale,Medium,2022-05-05,10000,60,REP027
267,Fictional Outlet 00267,East,Traditional Trade,Large,2022-07-26,25000,30,REP028
268,Fictional Outlet 00268,West,Traditional Trade,Medium,2022-04-19,5000,60,REP029
269,Fictional Outlet 00269,North,Traditional Trade,Large,2022-08-13,25000,15,REP030
270,Fictional Outlet 00270,South,Modern Trade,Small,2023-01-08,25000,15,REP031
271,Fictional Outlet 00271,East,Traditional Trade,Large,2022-08-09,10000,45,REP032
272,Fictional Outlet 00272,West,Wholesale,Large,2023-04-22,50000,45,REP033
273,Fictional Outlet 00273,North,Ecommerce,Large,2022-07-12,50000,30,REP034
274,Fictional Outlet 00274,South,Wholesale,Small,2023-12-13,50000,15,REP035
275,Fictional Outlet 00275,East,Modern Trade,Large,2023-11-19,5000,30,REP036
276,Fictional Outlet 00276,West,Traditional Trade,Medium,2023-03-14,25000,45,REP037
277,Fictional Outlet 00277,North,Traditional Trade,Large,2022-01-16,5000,45,REP038
278,Fictional Outlet 00278,South,Traditional Trade,Large,2022-04-22,5000,60,REP039
279,Fictional Outlet 00279,East,Traditional Trade,Large,2023-02-02,10000,45,REP040
280,Fictional Outlet 00280,West,Traditional Trade,Medium,2022-12-07,10000,45,REP041
281,Fictional Outlet 00281,North,Traditional Trade,Large,2022-01-14,5000,30,REP042
282,Fictional Outlet 00282,South,Traditional Trade,Large,2022-12-11,25000,15,REP043
283,Fictional Outlet 00283,East,Traditional Trade,Small,2022-03-03,25000,45,REP044
284,Fictional Outlet 00284,West,Traditional Trade,Small,2022-06-29,10000,45,REP045
285,Fictional Outlet 00285,North,Traditional Trade,Small,2023-07-17,10000,15,REP046
286,Fictional Outlet 00286,South,Traditional Trade,Medium,2022-03-28,10000,15,REP047
287,Fictional Outlet 00287,East,Traditional Trade,Large,2022-09-19,50000,60,REP048
288,Fictional Outlet 00288,West,Wholesale,Small,2022-06-15,10000,45,REP049
289,Fictional Outlet 00289,North,Wholesale,Small,2022-04-18,10000,45,REP050
290,Fictional Outlet 00290,South,Wholesale,Small,2023-12-02,50000,45,REP051
291,Fictional Outlet 00291,East, MODERN TRADE ,Small,2022-05-31,50000,45,REP052
292,Fictional Outlet 00292,West,Traditional Trade,Small,2022-07-20,25000,60,REP053
293,Fictional Outlet 00293,North,Ecommerce,Medium,2022-02-27,5000,60,REP054
294,Fictional Outlet 00294,South,Traditional Trade,Medium,2023-07-20,25000,45,REP055
295,Fictional Outlet 00295,East,Wholesale,Large,2023-07-19,10000,60,REP056
296,Fictional Outlet 00296,West,Traditional Trade,Large,2023-06-13,10000,60,REP057
297,Fictional Outlet 00297,North,Traditional Trade,Small,2022-01-25,5000,45,REP058
298,Fictional Outlet 00298,South,Traditional Trade,Large,2022-09-18,5000,60,REP059
299,Fictional Outlet 00299,East,Traditional Trade,Small,2023-11-12,10000,45,REP060
300,Fictional Outlet 00300,West,Wholesale,Small,2023-09-03,50000,60,REP061
301,Fictional Outlet 00301,North,Traditional Trade,Medium,2022-07-10,5000,30,REP062
302,Fictional Outlet 00302,South,Traditional Trade,Medium,2022-09-07,5000,60,REP063
303,Fictional Outlet 00303,East,Traditional Trade,Large,2022-08-09,25000,45,REP064
304,Fictional Outlet 00304,West,Modern Trade,Large,2022-07-21,50000,45,REP065
305,Fictional Outlet 00305,North,Traditional Trade,Small,2023-04-14,10000,15,REP066
306,Fictional Outlet 00306,South,Traditional Trade,Large,2023-02-15,10000,30,REP067
307,Fictional Outlet 00307,East,Ecommerce,Small,2023-07-28,25000,15,REP068
308,Fictional Outlet 00308,West,Modern Trade,Medium,2022-06-06,10000,60,REP069
309,Fictional Outlet 00309,North,Wholesale,Small,2022-03-02,50000,30,REP070
310,Fictional Outlet 00310,South,Wholesale,Large,2022-04-14,10000,15,REP071
311,Fictional Outlet 00311,East,Traditional Trade,Large,2023-02-10,50000,15,REP072
312,Fictional Outlet 00312,West,Modern Trade,Small,2022-02-21,10000,45,REP073
313,Fictional Outlet 00313,North,Traditional Trade,Small,2023-06-29,10000,45,REP074
314,Fictional Outlet 00314,South,Wholesale,Medium,2023-07-31,50000,30,REP075
315,Fictional Outlet 00315,East,Modern Trade,Large,2022-02-06,25000,15,REP076
316,Fictional Outlet 00316,West,Traditional Trade,Small,2023-10-07,25000,15,REP077
317,Fictional Outlet 00317,North,Traditional Trade,Large,2023-02-28,25000,15,REP078
318,Fictional Outlet 00318,South,Traditional Trade,Medium,2022-08-14,10000,60,REP079
319,Fictional Outlet 00319,East,Traditional Trade,Small,2023-07-11,50000,30,REP080
320,Fictional Outlet 00320,West,Traditional Trade,Small,2023-01-11,25000,15,REP001
321,Fictional Outlet 00321,North,Traditional Trade,Medium,2023-07-19,50000,15,REP002
322,Fictional Outlet 00322,South,Traditional Trade,Large,2022-04-09,25000,60,REP003
323,Fictional Outlet 00323,East,Traditional Trade,Medium,2022-07-20,10000,30,REP004
324,Fictional Outlet 00324,West,Traditional Trade,Small,2022-08-02,5000,30,REP005
325,Fictional Outlet 00325,North,Modern Trade,Medium,2023-08-30,50000,15,REP006
