ReturnLineID,DeliveryLineID,ReturnDate,ReturnedCases,ReasonCode,CreditAmountGBP,HandlingCostGBP,Disposition
36,249,2024-01-17,1,Quality,41.68,2.45,Destroyed
37,264,2024-01-13,2,Quality,71.0,2.9,Destroyed
38,294,2024-01-24,1,Short Shelf Life,17.75,2.45,Destroyed
39,307,2024-01-15,3,Damaged,115.2,3.35,Destroyed
40,308,2024-01-11,1,Customer Rejection,49.47,2.45,Destroyed
41,311,2024-01-11,10,Quality,332.1,6.5,Destroyed
42,312,2024-01-29,2,Short Shelf Life,93.84,2.9,Destroyed
43,314,2024-01-24,1,Customer Rejection,29.53,2.45,Destroyed
44,315,2024-02-03,2,Customer Rejection,93.66,2.9,Destroyed
45,316,2024-01-28,1,Quality,46.83,2.45,Destroyed
46,318,2024-01-20,1,Quality,30.9,2.45,Destroyed
47,349,2024-01-30,4,Damaged,117.4,3.8,Destroyed
48,350,2024-01-17,4,Quality,117.4,3.8,Destroyed
49,353,2024-01-11,4,Quality,173.44,3.8,Destroyed
50,360,2024-01-19,4,Short Shelf Life,80.0,3.8,Destroyed
51,362,2024-01-22,1,Customer Rejection,45.3,2.45,Destroyed
52,377,2024-01-10,6,Short Shelf Life,209.22,4.7,Destroyed
53,380,2024-01-26,2,Customer Rejection,74.5,2.9,Destroyed
54,387,2024-01-12,6,Quality,280.98,4.7,Destroyed
55,395,2024-01-22,7,Short Shelf Life,309.75,5.15,Destroyed
56,401,2024-01-31,3,Short Shelf Life,79.8,3.35,Destroyed
57,406,2024-01-13,2,Short Shelf Life,88.16,2.9,Destroyed
58,408,2024-01-23,1,Customer Rejection,37.05,2.45,Destroyed
59,415,2024-01-25,1,Damaged,45.01,2.45,Destroyed
60,416,2024-01-16,1,Customer Rejection,45.01,2.45,Destroyed
61,418,2024-01-15,7,Damaged,365.75,5.15,Destroyed
62,438,2024-01-12,2,Customer Rejection,49.5,2.9,Destroyed
63,449,2024-01-18,1,Customer Rejection,32.0,2.45,Destroyed
64,454,2024-01-21,1,Short Shelf Life,39.0,2.45,Destroyed
65,464,2024-01-21,1,Customer Rejection,18.4,2.45,Destroyed
66,468,2024-02-04,3,Customer Rejection,108.3,3.35,Destroyed
67,473,2024-02-03,8,Customer Rejection,395.76,5.6,Destroyed
68,481,2024-01-29,4,Short Shelf Life,101.2,3.8,Destroyed
69,484,2024-01-19,3,Short Shelf Life,104.61,3.35,Destroyed
70,492,2024-01-23,1,Damaged,51.12,2.45,Destroyed
71,494,2024-02-01,3,Damaged,116.7,3.35,Destroyed
72,499,2024-01-17,3,Damaged,112.32,3.35,Destroyed
73,506,2024-01-25,2,Short Shelf Life,42.14,2.9,Destroyed
74,514,2024-01-20,13,Customer Rejection,520.26,7.85,Destroyed
75,524,2024-01-19,2,Quality,77.8,2.9,Destroyed
76,567,2024-01-28,11,Customer Rejection,371.03,6.95,Destroyed
77,570,2024-01-12,1,Quality,24.75,2.45,Destroyed
78,579,2024-01-22,5,Short Shelf Life,120.0,4.25,Destroyed
79,638,2024-01-10,2,Short Shelf Life,69.8,2.9,Destroyed
80,639,2024-01-12,2,Quality,75.66,2.9,Destroyed
81,640,2024-01-25,4,Short Shelf Life,105.24,3.8,Destroyed
82,657,2024-02-03,1,Short Shelf Life,38.46,2.45,Destroyed
83,665,2024-01-11,6,Damaged,110.4,4.7,Destroyed
84,668,2024-01-17,1,Customer Rejection,43.36,2.45,Destroyed
85,674,2024-01-28,4,Short Shelf Life,168.8,3.8,Destroyed
86,675,2024-02-03,4,Quality,162.28,3.8,Destroyed
87,682,2024-01-30,4,Quality,150.12,3.8,Destroyed
88,705,2024-01-14,1,Quality,29.39,2.45,Destroyed
89,709,2024-02-05,4,Short Shelf Life,123.88,3.8,Destroyed
90,718,2024-01-11,6,Quality,264.48,4.7,Destroyed
91,721,2024-01-17,3,Quality,110.1,3.35,Destroyed
92,743,2024-01-16,2,Damaged,73.92,2.9,Destroyed
93,750,2024-01-31,2,Quality,93.32,2.9,Destroyed
94,753,2024-02-01,2,Damaged,52.62,2.9,Destroyed
95,759,2024-01-29,9,Quality,303.84,6.05,Destroyed
96,770,2024-01-20,8,Quality,444.64,5.6,Destroyed
97,772,2024-01-13,4,Short Shelf Life,181.2,3.8,Destroyed
98,777,2024-01-14,8,Customer Rejection,307.68,5.6,Destroyed
99,788,2024-01-24,8,Quality,358.4,5.6,Destroyed
100,823,2024-01-15,8,Damaged,408.0,5.6,Destroyed
101,826,2024-01-30,2,Damaged,83.78,2.9,Destroyed
102,834,2024-01-12,7,Customer Rejection,103.04,5.15,Destroyed
103,844,2024-01-15,3,Quality,82.5,3.35,Destroyed
104,851,2024-01-19,8,Short Shelf Life,284.0,5.6,Destroyed
105,855,2024-01-12,1,Damaged,39.23,2.45,Destroyed
106,856,2024-01-25,3,Short Shelf Life,79.8,3.35,Destroyed
107,860,2024-01-30,3,Quality,126.6,3.35,Destroyed
108,866,2024-01-29,1,Quality,26.09,2.45,Destroyed
109,869,2024-01-23,2,Short Shelf Life,49.2,2.9,Destroyed
110,875,2024-02-02,10,Damaged,372.0,6.5,Destroyed
111,876,2024-01-15,4,Customer Rejection,213.4,3.8,Destroyed
112,880,2024-01-19,1,Customer Rejection,33.27,2.45,Destroyed
113,900,2024-02-03,2,Damaged,75.06,2.9,Destroyed
114,902,2024-01-22,3,Quality,89.76,3.35,Destroyed
115,904,2024-01-29,4,Damaged,151.2,3.8,Destroyed
116,949,2024-02-01,1,Quality,20.0,2.45,Destroyed
117,958,2024-01-27,1,Quality,32.79,2.45,Destroyed
118,965,2024-01-15,4,Damaged,130.72,3.8,Destroyed
119,968,2024-01-16,1,Damaged,34.78,2.45,Destroyed
120,989,2024-01-23,11,Damaged,318.01,6.95,Destroyed
121,996,2024-02-05,4,Quality,144.32,3.8,Destroyed
122,1009,2024-02-01,1,Customer Rejection,43.94,2.45,Destroyed
123,1011,2024-01-18,2,Damaged,79.42,2.9,Destroyed
124,1014,2024-01-21,6,Quality,306.0,4.7,Destroyed
125,1025,2024-01-16,9,Short Shelf Life,236.79,6.05,Destroyed
126,1034,2024-01-14,7,Customer Rejection,213.92,5.15,Destroyed
127,1040,2024-01-15,1,Quality,36.7,2.45,Destroyed
128,1048,2024-01-21,3,Short Shelf Life,94.95,3.35,Destroyed
129,1053,2024-02-03,10,Short Shelf Life,511.2,6.5,Destroyed
130,1063,2024-01-31,1,Damaged,39.14,2.45,Destroyed
131,1067,2024-01-15,7,Quality,330.68,5.15,Destroyed
132,1076,2024-01-19,2,Customer Rejection,71.2,2.9,Destroyed
133,1099,2024-01-28,8,Quality,392.32,5.6,Destroyed
134,1108,2024-01-12,5,Customer Rejection,215.2,4.25,Destroyed
135,1111,2024-01-21,1,Damaged,26.31,2.45,Destroyed
136,1115,2024-01-22,3,Customer Rejection,137.1,3.35,Destroyed
137,1117,2024-02-02,7,Customer Rejection,220.5,5.15,Destroyed
138,1119,2024-01-14,1,Customer Rejection,26.68,2.45,Destroyed
139,1133,2024-01-28,5,Customer Rejection,91.5,4.25,Destroyed
140,1137,2024-01-27,4,Short Shelf Life,99.96,3.8,Destroyed
141,1138,2024-01-30,7,Damaged,381.01,5.15,Destroyed
142,1141,2024-01-12,9,Customer Rejection,210.33,6.05,Destroyed
143,1152,2024-01-17,1,Damaged,43.24,2.45,Destroyed
144,1155,2024-02-07,6,Short Shelf Life,173.46,4.7,Destroyed
145,1161,2024-01-25,3,Short Shelf Life,84.96,3.35,Destroyed
146,1162,2024-01-22,3,Quality,97.98,3.35,Destroyed
147,1168,2024-01-26,5,Short Shelf Life,120.0,4.25,Destroyed
148,1182,2024-01-16,1,Short Shelf Life,52.7,2.45,Destroyed
149,1185,2024-01-19,1,Damaged,30.4,2.45,Destroyed
150,1198,2024-01-22,1,Short Shelf Life,50.4,2.45,Destroyed
151,1199,2024-01-24,1,Damaged,41.3,2.45,Destroyed
152,1210,2024-01-26,6,Quality,157.8,4.7,Destroyed
153,1217,2024-01-29,2,Damaged,94.0,2.9,Destroyed
154,1225,2024-01-29,8,Quality,248.32,5.6,Destroyed
155,1234,2024-01-18,2,Short Shelf Life,61.12,2.9,Destroyed
156,1238,2024-01-31,2,Customer Rejection,98.6,2.9,Destroyed
157,1255,2024-01-27,8,Quality,182.4,5.6,Destroyed
158,1259,2024-01-14,2,Customer Rejection,55.48,2.9,Destroyed
159,1268,2024-01-22,5,Customer Rejection,190.5,4.25,Destroyed
160,1277,2024-01-22,2,Damaged,76.2,2.9,Destroyed
161,1290,2024-01-21,1,Quality,47.24,2.45,Destroyed
162,1294,2024-01-14,3,Quality,119.88,3.35,Destroyed
163,1299,2024-01-30,1,Short Shelf Life,37.8,2.45,Destroyed
164,1319,2024-01-28,1,Quality,57.3,2.45,Destroyed
165,1330,2024-01-23,1,Short Shelf Life,30.97,2.45,Destroyed
166,1334,2024-01-16,3,Quality,117.03,3.35,Destroyed
167,1336,2024-01-18,9,Short Shelf Life,264.15,6.05,Destroyed
168,1354,2024-02-07,1,Damaged,44.25,2.45,Destroyed
169,1359,2024-02-07,10,Damaged,247.5,6.5,Destroyed
170,1365,2024-01-21,3,Short Shelf Life,102.66,3.35,Destroyed
171,1380,2024-02-03,8,Damaged,292.8,5.6,Destroyed
172,1402,2024-01-22,1,Quality,19.98,2.45,Destroyed
173,1404,2024-01-22,3,Damaged,130.08,3.35,Destroyed
174,1413,2024-01-15,4,Short Shelf Life,87.04,3.8,Destroyed
175,1419,2024-01-26,7,Damaged,135.8,5.15,Destroyed
176,1432,2024-01-31,5,Short Shelf Life,119.7,4.25,Destroyed
177,1442,2024-01-23,1,Short Shelf Life,41.68,2.45,Destroyed
178,1444,2024-01-17,1,Short Shelf Life,29.53,2.45,Destroyed
179,1449,2024-01-15,6,Short Shelf Life,246.72,4.7,Destroyed
180,1455,2024-01-29,3,Damaged,129.0,3.35,Destroyed
181,1457,2024-01-18,3,Quality,100.11,3.35,Destroyed
182,1461,2024-01-21,1,Short Shelf Life,33.15,2.45,Destroyed
183,1469,2024-01-20,1,Customer Rejection,33.21,2.45,Destroyed
184,1474,2024-01-17,1,Quality,39.71,2.45,Destroyed
185,1475,2024-01-24,1,Quality,18.3,2.45,Destroyed
186,1489,2024-01-21,3,Quality,104.31,3.35,Destroyed
187,1497,2024-02-09,4,Quality,165.28,3.8,Destroyed
188,1509,2024-02-03,4,Customer Rejection,176.32,3.8,Destroyed
189,1522,2024-02-01,3,Quality,81.48,3.35,Destroyed
190,1526,2024-02-01,3,Damaged,106.02,3.35,Destroyed
191,1527,2024-01-30,2,Damaged,61.8,2.9,Destroyed
192,1532,2024-01-26,7,Quality,124.25,5.15,Destroyed
193,1533,2024-02-03,1,Short Shelf Life,43.94,2.45,Destroyed
194,1560,2024-02-01,2,Customer Rejection,76.0,2.9,Destroyed
195,1568,2024-01-24,2,Quality,102.24,2.9,Destroyed
196,1569,2024-01-23,2,Damaged,82.4,2.9,Destroyed
197,1586,2024-01-15,5,Quality,163.0,4.25,Destroyed
198,1591,2024-01-22,2,Damaged,57.82,2.9,Destroyed
199,1602,2024-02-01,1,Quality,25.51,2.45,Destroyed
200,1607,2024-02-03,1,Quality,32.6,2.45,Destroyed
201,1617,2024-01-26,2,Customer Rejection,55.48,2.9,Destroyed
202,1618,2024-02-05,1,Customer Rejection,35.79,2.45,Destroyed
203,1628,2024-01-28,2,Customer Rejection,64.2,2.9,Destroyed
204,1639,2024-02-10,4,Quality,146.4,3.8,Destroyed
205,1652,2024-01-17,7,Quality,256.9,5.15,Destroyed
206,1667,2024-01-31,1,Short Shelf Life,35.5,2.45,Destroyed
207,1675,2024-01-25,10,Damaged,246.0,6.5,Destroyed
208,1679,2024-02-03,1,Short Shelf Life,28.31,2.45,Destroyed
209,1682,2024-01-15,2,Short Shelf Life,68.88,2.9,Destroyed
210,1717,2024-01-29,1,Quality,28.98,2.45,Destroyed
211,1720,2024-02-03,7,Short Shelf Life,312.9,5.15,Destroyed
212,1736,2024-02-01,2,Short Shelf Life,78.28,2.9,Destroyed
213,1737,2024-01-18,6,Damaged,166.44,4.7,Destroyed
214,1755,2024-01-20,2,Short Shelf Life,65.36,2.9,Destroyed
215,1766,2024-01-20,2,Damaged,69.8,2.9,Destroyed
216,1778,2024-02-02,1,Customer Rejection,37.83,2.45,Destroyed
217,1788,2024-01-15,7,Short Shelf Life,158.41,5.15,Destroyed
218,1793,2024-01-19,4,Short Shelf Life,181.44,3.8,Destroyed
219,1799,2024-01-25,7,Quality,273.07,5.15,Destroyed
220,1846,2024-02-06,4,Customer Rejection,142.4,3.8,Destroyed
221,1849,2024-02-01,1,Customer Rejection,24.2,2.45,Destroyed
222,1866,2024-01-23,3,Quality,86.94,3.35,Destroyed
223,1883,2024-02-10,4,Quality,113.72,3.8,Destroyed
224,1885,2024-01-28,1,Damaged,35.33,2.45,Destroyed
225,1904,2024-01-20,3,Damaged,108.3,3.35,Destroyed
226,1909,2024-02-03,2,Damaged,48.4,2.9,Destroyed
227,1915,2024-02-04,2,Damaged,62.28,2.9,Destroyed
228,1922,2024-01-26,4,Short Shelf Life,192.4,3.8,Destroyed
229,1924,2024-02-08,3,Quality,66.63,3.35,Destroyed
230,1927,2024-02-01,6,Quality,189.9,4.7,Destroyed
231,1929,2024-02-10,5,Customer Rejection,246.5,4.25,Destroyed
232,1964,2024-02-11,2,Short Shelf Life,76.92,2.9,Destroyed
233,1977,2024-02-01,2,Quality,97.4,2.9,Destroyed
234,1982,2024-02-07,2,Customer Rejection,88.86,2.9,Destroyed
235,1983,2024-02-06,1,Customer Rejection,21.07,2.45,Destroyed
236,1986,2024-02-07,2,Short Shelf Life,74.4,2.9,Destroyed
237,1992,2024-01-29,1,Short Shelf Life,33.27,2.45,Destroyed
238,2013,2024-01-26,1,Damaged,20.6,2.45,Destroyed
239,2040,2024-01-18,4,Customer Rejection,139.12,3.8,Destroyed
240,2056,2024-01-20,6,Quality,287.28,4.7,Destroyed
241,2057,2024-02-05,2,Quality,55.48,2.9,Destroyed
242,2060,2024-02-06,7,Damaged,209.44,5.15,Destroyed
243,2061,2024-02-04,2,Customer Rejection,66.42,2.9,Destroyed
244,2062,2024-01-28,6,Damaged,280.98,4.7,Destroyed
245,2065,2024-01-31,1,Customer Rejection,28.43,2.45,Destroyed
246,2080,2024-01-22,2,Damaged,82.64,2.9,Destroyed
247,2083,2024-02-04,3,Damaged,104.31,3.35,Destroyed
248,2088,2024-02-06,3,Short Shelf Life,64.89,3.35,Destroyed
249,2092,2024-01-31,4,Customer Rejection,150.12,3.8,Destroyed
250,2095,2024-01-29,2,Quality,81.1,2.9,Destroyed
251,2097,2024-01-31,5,Quality,126.0,4.25,Destroyed
252,2121,2024-02-07,8,Damaged,274.4,5.6,Destroyed
253,2129,2024-01-19,1,Damaged,26.6,2.45,Destroyed
254,2130,2024-02-11,6,Damaged,274.2,4.7,Destroyed
255,2143,2024-02-08,5,Quality,212.0,4.25,Destroyed
256,2161,2024-02-03,2,Damaged,64.22,2.9,Destroyed
257,2162,2024-01-31,4,Quality,131.16,3.8,Destroyed
258,2174,2024-01-30,1,Damaged,30.9,2.45,Destroyed
259,2181,2024-01-31,1,Customer Rejection,27.88,2.45,Destroyed
260,2182,2024-02-01,1,Customer Rejection,37.9,2.45,Destroyed
261,2184,2024-01-27,3,Short Shelf Life,81.51,3.35,Destroyed
262,2191,2024-02-07,6,Damaged,267.9,4.7,Destroyed
263,2192,2024-01-28,1,Damaged,44.65,2.45,Destroyed
264,2193,2024-01-20,1,Damaged,44.65,2.45,Destroyed
265,2204,2024-01-26,10,Short Shelf Life,168.4,6.5,Destroyed
266,2212,2024-01-28,4,Customer Rejection,163.4,3.8,Destroyed
267,2213,2024-01-29,5,Short Shelf Life,111.05,4.25,Destroyed
268,2218,2024-01-23,1,Quality,43.51,2.45,Destroyed
269,2242,2024-02-03,4,Customer Rejection,121.2,3.8,Destroyed
270,2252,2024-02-10,4,Short Shelf Life,67.36,3.8,Destroyed
271,2256,2024-01-22,3,Short Shelf Life,111.6,3.35,Destroyed
272,2261,2024-01-26,3,Short Shelf Life,96.33,3.35,Destroyed
273,2273,2024-01-27,11,Short Shelf Life,382.58,6.95,Destroyed
274,2278,2024-01-18,3,Customer Rejection,120.3,3.35,Destroyed
275,2287,2024-02-09,8,Damaged,275.2,5.6,Destroyed
276,2290,2024-01-26,9,Customer Rejection,198.72,6.05,Destroyed
277,2303,2024-02-07,1,Short Shelf Life,45.59,2.45,Destroyed
278,2305,2024-01-24,2,Damaged,76.8,2.9,Destroyed
279,2317,2024-01-26,1,Damaged,53.3,2.45,Destroyed
280,2321,2024-02-02,2,Quality,80.12,2.9,Destroyed
281,2325,2024-01-25,9,Quality,389.16,6.05,Destroyed
282,2344,2024-02-05,1,Customer Rejection,32.11,2.45,Destroyed
283,2354,2024-02-13,11,Quality,244.31,6.95,Destroyed
284,2356,2024-02-10,1,Quality,35.79,2.45,Destroyed
285,2376,2024-01-21,3,Damaged,78.93,3.35,Destroyed
286,2379,2024-02-05,1,Damaged,41.68,2.45,Destroyed
287,2381,2024-01-28,1,Short Shelf Life,35.6,2.45,Destroyed
288,2405,2024-01-25,3,Damaged,127.2,3.35,Destroyed
289,2420,2024-01-21,2,Short Shelf Life,73.92,2.9,Destroyed
290,2466,2024-02-02,3,Quality,130.53,3.35,Destroyed
291,2472,2024-02-08,6,Damaged,239.76,4.7,Destroyed
292,2475,2024-02-08,4,Damaged,209.0,3.8,Destroyed
293,2481,2024-01-25,5,Customer Rejection,110.4,4.25,Destroyed
294,2486,2024-02-10,5,Damaged,160.0,4.25,Destroyed
295,2487,2024-02-02,1,Damaged,35.34,2.45,Destroyed
296,2504,2024-02-06,6,Damaged,144.0,4.7,Destroyed
297,2508,2024-02-10,6,Short Shelf Life,292.2,4.7,Destroyed
298,2515,2024-01-20,1,Quality,44.25,2.45,Destroyed
299,2516,2024-01-25,1,Quality,44.25,2.45,Destroyed
300,2517,2024-01-26,2,Damaged,37.9,2.9,Destroyed
301,2533,2024-02-04,3,Damaged,45.6,3.35,Destroyed
302,2537,2024-02-09,3,Quality,67.89,3.35,Destroyed
303,2542,2024-02-03,2,Quality,86.72,2.9,Destroyed
304,2548,2024-01-26,1,Quality,47.0,2.45,Destroyed
305,2554,2024-02-10,11,Customer Rejection,469.59,6.95,Destroyed
306,2556,2024-02-07,1,Damaged,38.9,2.45,Destroyed
307,2558,2024-01-21,1,Customer Rejection,25.3,2.45,Destroyed
308,2569,2024-02-08,1,Quality,38.0,2.45,Destroyed
309,2573,2024-02-10,6,Quality,303.6,4.7,Destroyed
310,2575,2024-01-26,1,Quality,19.4,2.45,Destroyed
311,2576,2024-01-20,1,Quality,19.4,2.45,Destroyed
312,2579,2024-02-05,4,Damaged,169.88,3.8,Destroyed
313,2590,2024-02-12,4,Quality,101.2,3.8,Destroyed
314,2593,2024-02-05,3,Short Shelf Life,94.62,3.35,Destroyed
315,2602,2024-01-31,1,Quality,33.73,2.45,Destroyed
316,2607,2024-02-09,2,Customer Rejection,65.58,2.9,Destroyed
317,2608,2024-01-31,2,Damaged,46.74,2.9,Destroyed
318,2612,2024-02-10,9,Quality,405.09,6.05,Destroyed
319,2631,2024-02-10,10,Short Shelf Life,400.2,6.5,Destroyed
320,2690,2024-02-14,3,Customer Rejection,102.9,3.35,Destroyed
321,2694,2024-01-27,6,Damaged,232.02,4.7,Destroyed
322,2695,2024-02-07,1,Damaged,28.43,2.45,Destroyed
323,2704,2024-02-12,2,Damaged,100.14,2.9,Destroyed
324,2710,2024-01-23,10,Damaged,293.5,6.5,Destroyed
325,2724,2024-01-20,3,Customer Rejection,84.96,3.35,Destroyed
326,2746,2024-01-27,4,Damaged,126.0,3.8,Destroyed
327,2757,2024-01-27,4,Quality,160.24,3.8,Destroyed
328,2771,2024-01-30,5,Quality,235.0,4.25,Destroyed
329,2775,2024-01-25,10,Short Shelf Life,379.0,6.5,Destroyed
330,2779,2024-02-02,7,Short Shelf Life,216.3,5.15,Destroyed
331,2785,2024-01-20,5,Quality,200.1,4.25,Destroyed
332,2787,2024-01-28,2,Quality,54.34,2.9,Destroyed
333,2797,2024-01-28,3,Short Shelf Life,134.4,3.35,Destroyed
334,2800,2024-02-14,2,Customer Rejection,53.36,2.9,Destroyed
335,2816,2024-01-26,1,Quality,45.59,2.45,Destroyed
336,2819,2024-01-30,1,Damaged,44.7,2.45,Destroyed
337,2841,2024-02-13,2,Damaged,33.68,2.9,Destroyed
338,2850,2024-02-07,4,Customer Rejection,148.8,3.8,Destroyed
339,2853,2024-01-30,1,Customer Rejection,33.85,2.45,Destroyed
340,2854,2024-02-14,1,Short Shelf Life,33.85,2.45,Destroyed
341,2868,2024-02-03,1,Customer Rejection,33.67,2.45,Destroyed
342,2877,2024-01-27,1,Quality,29.97,2.45,Destroyed
343,2885,2024-02-14,5,Damaged,149.85,4.25,Destroyed
344,2890,2024-02-12,3,Customer Rejection,98.37,3.35,Destroyed
345,2914,2024-02-13,4,Customer Rejection,105.2,3.8,Destroyed
346,2920,2024-02-04,3,Short Shelf Life,84.93,3.35,Destroyed
347,2924,2024-02-11,5,Quality,171.5,4.25,Destroyed
348,2945,2024-01-31,3,Quality,68.7,3.35,Destroyed
349,2947,2024-01-22,3,Quality,116.01,3.35,Destroyed
350,2960,2024-02-09,1,Damaged,40.7,2.45,Destroyed
351,2964,2024-02-06,2,Short Shelf Life,54.34,2.9,Destroyed
352,2968,2024-02-11,2,Short Shelf Life,64.22,2.9,Destroyed
353,2975,2024-02-09,1,Quality,41.68,2.45,Destroyed
354,2982,2024-02-09,1,Damaged,48.7,2.45,Destroyed
355,2990,2024-01-28,1,Damaged,43.94,2.45,Destroyed
356,2998,2024-02-04,7,Damaged,250.53,5.15,Destroyed
357,3010,2024-01-21,2,Quality,87.0,2.9,Destroyed
358,3027,2024-02-13,2,Customer Rejection,61.12,2.9,Destroyed
359,3030,2024-02-11,3,Short Shelf Life,136.77,3.35,Destroyed
360,3035,2024-02-05,3,Quality,106.02,3.35,Destroyed
361,3039,2024-02-07,5,Damaged,166.05,4.25,Destroyed
362,3061,2024-02-06,5,Damaged,126.0,4.25,Destroyed
363,3077,2024-01-31,8,Short Shelf Life,221.92,5.6,Destroyed
364,3080,2024-02-14,4,Short Shelf Life,143.52,3.8,Destroyed
365,3084,2024-02-11,2,Customer Rejection,73.92,2.9,Destroyed
366,3093,2024-01-26,3,Quality,115.2,3.35,Destroyed
367,3101,2024-02-03,6,Damaged,167.28,4.7,Destroyed
368,3104,2024-02-12,3,Short Shelf Life,118.5,3.35,Destroyed
369,3117,2024-01-25,2,Customer Rejection,57.58,2.9,Destroyed
370,3124,2024-02-12,4,Damaged,202.4,3.8,Destroyed
371,3125,2024-02-06,11,Quality,311.41,6.95,Destroyed
372,3132,2024-02-11,5,Quality,206.6,4.25,Destroyed
373,3144,2024-02-12,1,Quality,53.35,2.45,Destroyed
374,3154,2024-02-14,6,Damaged,211.98,4.7,Destroyed
375,3168,2024-01-29,4,Short Shelf Life,73.2,3.8,Destroyed
376,3184,2024-02-08,3,Quality,46.56,3.35,Destroyed
377,3186,2024-01-23,2,Customer Rejection,79.92,2.9,Destroyed
378,3192,2024-01-23,8,Damaged,440.0,5.6,Destroyed
379,3198,2024-01-29,1,Quality,41.13,2.45,Destroyed
380,3203,2024-02-14,2,Customer Rejection,81.1,2.9,Destroyed
381,3208,2024-01-23,7,Customer Rejection,186.2,5.15,Destroyed
382,3212,2024-01-26,5,Short Shelf Life,163.95,4.25,Destroyed
383,3219,2024-02-11,5,Customer Rejection,134.5,4.25,Destroyed
384,3232,2024-02-02,1,Damaged,47.88,2.45,Destroyed
385,3235,2024-02-16,1,Quality,44.43,2.45,Destroyed
386,3259,2024-02-06,4,Short Shelf Life,174.04,3.8,Destroyed
387,3261,2024-02-10,2,Damaged,74.1,2.9,Destroyed
388,3263,2024-01-31,1,Short Shelf Life,30.4,2.45,Destroyed
389,3264,2024-02-11,4,Quality,123.88,3.8,Destroyed
390,3267,2024-02-14,2,Damaged,103.4,2.9,Destroyed
391,3273,2024-02-15,2,Quality,82.24,2.9,Destroyed
392,3295,2024-02-11,2,Short Shelf Life,52.18,2.9,Destroyed
393,3315,2024-02-01,4,Customer Rejection,124.56,3.8,Destroyed
394,3316,2024-02-15,3,Customer Rejection,129.72,3.35,Destroyed
395,3327,2024-01-24,1,Customer Rejection,18.95,2.45,Destroyed
396,3329,2024-01-24,1,Short Shelf Life,32.1,2.45,Destroyed
397,3336,2024-01-26,2,Short Shelf Life,67.6,2.9,Destroyed
398,3340,2024-02-07,4,Damaged,122.24,3.8,Destroyed
399,3348,2024-02-01,3,Quality,158.16,3.35,Destroyed
400,3349,2024-02-07,1,Damaged,37.73,2.45,Destroyed
401,3353,2024-01-25,3,Customer Rejection,117.42,3.35,Destroyed
402,3354,2024-02-12,7,Quality,281.96,5.15,Destroyed
403,3356,2024-02-17,2,Short Shelf Life,91.18,2.9,Destroyed
404,3362,2024-02-01,1,Damaged,40.06,2.45,Destroyed
405,3370,2024-02-02,1,Quality,26.31,2.45,Destroyed
406,3376,2024-01-29,1,Customer Rejection,38.1,2.45,Destroyed
407,3382,2024-01-30,1,Short Shelf Life,38.32,2.45,Destroyed
