BatchID,ProductionDate,ProductID,PlantID,WarehouseID,LineCode,PlannedCases,ProducedCases,GoodCases,RejectedCases,ScheduledMinutes,DowntimeMinutes,DowntimeReason,StandardCostPerCaseGBP,ActualConversionCostGBP
164,2024-01-03,SKU012,PL01,WH01,L1,241,226,222,4,120,9,Mechanical,9.92,426.42
165,2024-01-03,SKU015,PL01,WH01,L4,259,245,238,7,120,7,Material Wait,16.68,517.24
166,2024-01-03,SKU018,PL01,WH01,L3,255,216,211,5,120,17,Changeover,20.96,543.2
167,2024-01-03,SKU021,PL01,WH01,L2,228,196,191,5,120,13,Cleaning,25.23,440.79
168,2024-01-03,SKU024,PL01,WH01,L1,254,256,253,3,120,1,Changeover,12.4,498.19
169,2024-01-03,SKU027,PL01,WH01,L4,221,182,178,4,120,18,Mechanical,19.16,472.54
170,2024-01-03,SKU030,PL01,WH01,L3,259,235,232,3,120,9,Changeover,23.44,529.69
171,2024-01-03,SKU033,PL01,WH01,L2,212,194,190,4,120,11,Material Wait,27.71,446.81
172,2024-01-03,SKU036,PL01,WH01,L1,226,193,189,4,120,11,Material Wait,14.88,494.73
173,2024-01-03,SKU039,PL01,WH01,L4,218,197,192,5,120,5,Cleaning,21.64,467.74
174,2024-01-03,SKU042,PL01,WH01,L3,220,209,205,4,120,2,Mechanical,25.92,442.16
175,2024-01-03,SKU045,PL01,WH01,L2,215,188,183,5,120,9,Material Wait,30.19,437.51
176,2024-01-03,SKU048,PL01,WH01,L1,244,246,242,4,120,1,Changeover,17.36,627.01
177,2024-01-03,SKU051,PL01,WH01,L4,256,213,207,6,120,18,Cleaning,24.12,547.35
178,2024-01-03,SKU054,PL01,WH01,L3,244,200,194,6,120,15,Changeover,28.4,461.35
179,2024-01-03,SKU057,PL01,WH01,L2,254,238,230,8,120,3,Mechanical,32.67,559.62
180,2024-01-03,SKU060,PL01,WH01,L1,202,191,186,5,120,5,Material Wait,19.84,371.24
181,2024-01-03,SKU002,PL02,WH02,L3,222,211,204,7,120,3,Changeover,12.77,489.09
182,2024-01-03,SKU005,PL02,WH02,L2,201,185,181,4,120,10,Mechanical,17.05,433.02
183,2024-01-03,SKU008,PL02,WH02,L1,253,232,228,4,120,11,Changeover,21.33,445.19
184,2024-01-03,SKU011,PL02,WH02,L4,258,223,217,6,120,11,Changeover,25.61,442.28
185,2024-01-03,SKU014,PL02,WH02,L3,201,191,186,5,120,1,Changeover,15.25,411.05
186,2024-01-03,SKU017,PL02,WH02,L2,254,234,231,3,120,7,Changeover,19.53,520.98
187,2024-01-03,SKU020,PL02,WH02,L1,251,237,229,8,120,2,Material Wait,23.81,508.77
188,2024-01-03,SKU023,PL02,WH02,L4,208,209,206,3,120,1,Material Wait,28.09,384.73
189,2024-01-03,SKU026,PL02,WH02,L3,226,208,205,3,120,8,Changeover,17.73,432.56
190,2024-01-03,SKU029,PL02,WH02,L2,251,225,217,8,120,10,Cleaning,22.01,516.13
191,2024-01-03,SKU032,PL02,WH02,L1,244,237,233,4,120,4,Cleaning,26.29,518.41
192,2024-01-03,SKU035,PL02,WH02,L4,204,177,175,2,120,16,Mechanical,30.57,402.62
193,2024-01-03,SKU038,PL02,WH02,L3,206,195,188,7,120,0,None,20.21,464.91
194,2024-01-03,SKU041,PL02,WH02,L2,233,195,191,4,120,15,Cleaning,24.49,433.35
195,2024-01-03,SKU044,PL02,WH02,L1,249,234,231,3,120,6,Cleaning,28.77,452.93
196,2024-01-03,SKU047,PL02,WH02,L4,201,175,169,6,120,12,Changeover,33.05,399.17
197,2024-01-03,SKU050,PL02,WH02,L3,208,201,194,7,120,3,Mechanical,22.69,501.19
198,2024-01-03,SKU053,PL02,WH02,L2,203,169,166,3,120,15,Material Wait,26.97,328.58
199,2024-01-03,SKU056,PL02,WH02,L1,226,185,180,5,120,16,Changeover,31.25,433.76
200,2024-01-03,SKU059,PL02,WH02,L4,244,198,193,5,120,18,Changeover,35.53,444.98
201,2024-01-03,SKU001,PL03,WH03,L2,232,208,202,6,120,10,Cleaning,11.35,386.86
202,2024-01-03,SKU004,PL03,WH03,L1,236,196,190,6,120,18,Cleaning,15.62,468.03
203,2024-01-03,SKU007,PL03,WH03,L4,200,170,166,4,120,18,Changeover,19.9,430.59
204,2024-01-03,SKU010,PL03,WH03,L3,257,237,234,3,120,6,Mechanical,24.18,599.08
205,2024-01-03,SKU013,PL03,WH03,L2,250,218,215,3,120,17,Changeover,13.83,542.37
206,2024-01-03,SKU016,PL03,WH03,L1,224,199,193,6,120,11,Material Wait,18.1,398.67
207,2024-01-03,SKU019,PL03,WH03,L4,225,187,182,5,120,18,Changeover,22.38,399.8
208,2024-01-03,SKU022,PL03,WH03,L3,241,209,204,5,120,12,Changeover,26.66,503.38
209,2024-01-03,SKU025,PL03,WH03,L2,251,248,241,7,120,0,None,16.31,608.7
210,2024-01-03,SKU028,PL03,WH03,L1,241,215,209,6,120,14,Cleaning,20.58,434.75
211,2024-01-03,SKU031,PL03,WH03,L4,248,243,234,9,120,3,Material Wait,24.86,614.44
212,2024-01-03,SKU034,PL03,WH03,L3,217,202,196,6,120,8,Mechanical,29.14,472.39
213,2024-01-03,SKU037,PL03,WH03,L2,239,208,201,7,120,16,Changeover,18.79,421.4
214,2024-01-03,SKU040,PL03,WH03,L1,227,188,185,3,120,16,Mechanical,23.06,451.35
215,2024-01-03,SKU043,PL03,WH03,L4,206,189,184,5,120,6,Mechanical,27.34,370.18
216,2024-01-03,SKU046,PL03,WH03,L3,258,232,225,7,120,9,Material Wait,31.62,471.62
217,2024-01-03,SKU049,PL03,WH03,L2,238,210,202,8,120,9,Material Wait,21.27,450.45
218,2024-01-03,SKU052,PL03,WH03,L1,257,224,219,5,120,14,Cleaning,25.54,567.15
219,2024-01-03,SKU055,PL03,WH03,L4,204,182,179,3,120,9,Changeover,29.82,425.43
220,2024-01-03,SKU058,PL03,WH03,L3,247,202,198,4,120,18,Changeover,34.1,425.03
221,2024-01-03,SKU003,PL04,WH04,L4,232,220,214,6,120,8,Changeover,14.2,439.86
222,2024-01-03,SKU006,PL04,WH04,L3,202,191,186,5,120,0,None,18.48,441.3
223,2024-01-03,SKU009,PL04,WH04,L2,209,188,181,7,120,7,Mechanical,22.75,412.25
224,2024-01-03,SKU012,PL04,WH04,L1,230,203,196,7,120,11,Mechanical,9.92,369.52
225,2024-01-03,SKU015,PL04,WH04,L4,246,203,200,3,120,15,Mechanical,16.68,426.11
226,2024-01-03,SKU018,PL04,WH04,L3,251,229,225,4,120,11,Cleaning,20.96,482.53
227,2024-01-03,SKU021,PL04,WH04,L2,258,233,225,8,120,10,Cleaning,25.23,467.44
228,2024-01-03,SKU024,PL04,WH04,L1,257,257,249,8,120,2,Mechanical,12.4,664.82
229,2024-01-03,SKU027,PL04,WH04,L4,247,209,204,5,120,13,Changeover,19.16,477.09
230,2024-01-03,SKU030,PL04,WH04,L3,256,225,218,7,120,10,Changeover,23.44,456.45
231,2024-01-03,SKU033,PL04,WH04,L2,233,190,186,4,120,18,Changeover,27.71,344.21
232,2024-01-03,SKU036,PL04,WH04,L1,202,178,172,6,120,13,Material Wait,14.88,408.79
233,2024-01-03,SKU039,PL04,WH04,L4,217,188,184,4,120,18,Mechanical,21.64,481.29
234,2024-01-03,SKU042,PL04,WH04,L3,215,196,191,5,120,11,Changeover,25.92,497.47
235,2024-01-03,SKU045,PL04,WH04,L2,212,186,183,3,120,12,Material Wait,30.19,450.3
236,2024-01-03,SKU048,PL04,WH04,L1,256,229,222,7,120,13,Changeover,17.36,498.27
237,2024-01-03,SKU051,PL04,WH04,L4,231,202,198,4,120,17,Changeover,24.12,380.1
238,2024-01-03,SKU054,PL04,WH04,L3,229,195,192,3,120,15,Changeover,28.4,479.52
239,2024-01-03,SKU057,PL04,WH04,L2,259,238,229,9,120,3,Changeover,32.67,443.0
240,2024-01-03,SKU060,PL04,WH04,L1,237,222,219,3,120,5,Changeover,19.84,446.69
241,2024-01-04,SKU002,PL01,WH01,L3,245,226,220,6,120,4,Cleaning,12.77,546.48
242,2024-01-04,SKU005,PL01,WH01,L2,225,211,204,7,120,9,Mechanical,17.05,442.43
243,2024-01-04,SKU008,PL01,WH01,L1,214,207,202,5,120,4,Changeover,21.33,453.76
244,2024-01-04,SKU011,PL01,WH01,L4,250,217,210,7,120,14,Changeover,25.61,563.78
245,2024-01-04,SKU014,PL01,WH01,L3,245,229,223,6,120,6,Material Wait,15.25,473.06
246,2024-01-04,SKU017,PL01,WH01,L2,223,193,187,6,120,13,Mechanical,19.53,386.53
247,2024-01-04,SKU020,PL01,WH01,L1,203,172,166,6,120,16,Cleaning,23.81,311.7
248,2024-01-04,SKU023,PL01,WH01,L4,219,200,196,4,120,6,Mechanical,28.09,418.62
249,2024-01-04,SKU026,PL01,WH01,L3,255,242,236,6,120,4,Mechanical,17.73,524.75
250,2024-01-04,SKU029,PL01,WH01,L2,254,220,215,5,120,16,Cleaning,22.01,453.53
251,2024-01-04,SKU032,PL01,WH01,L1,213,214,208,6,120,0,None,26.29,496.94
252,2024-01-04,SKU035,PL01,WH01,L4,236,215,207,8,120,7,Mechanical,30.57,418.61
253,2024-01-04,SKU038,PL01,WH01,L3,214,191,187,4,120,12,Mechanical,20.21,495.53
254,2024-01-04,SKU041,PL01,WH01,L2,252,245,237,8,120,5,Material Wait,24.49,523.39
255,2024-01-04,SKU044,PL01,WH01,L1,241,207,203,4,120,18,Mechanical,28.77,455.46
256,2024-01-04,SKU047,PL01,WH01,L4,246,200,197,3,120,17,Material Wait,33.05,381.41
257,2024-01-04,SKU050,PL01,WH01,L3,220,186,179,7,120,17,Material Wait,22.69,413.94
258,2024-01-04,SKU053,PL01,WH01,L2,255,219,213,6,120,13,Changeover,26.97,472.7
259,2024-01-04,SKU056,PL01,WH01,L1,214,178,172,6,120,15,Cleaning,31.25,360.89
260,2024-01-04,SKU059,PL01,WH01,L4,235,197,192,5,120,17,Cleaning,35.53,442.56
261,2024-01-04,SKU001,PL02,WH02,L2,207,184,181,3,120,9,Material Wait,11.35,473.95
262,2024-01-04,SKU004,PL02,WH02,L1,213,185,182,3,120,17,Cleaning,15.62,403.99
263,2024-01-04,SKU007,PL02,WH02,L4,234,222,215,7,120,4,Mechanical,19.9,477.07
264,2024-01-04,SKU010,PL02,WH02,L3,244,228,224,4,120,6,Mechanical,24.18,536.96
265,2024-01-04,SKU013,PL02,WH02,L2,231,205,198,7,120,11,Cleaning,13.83,446.63
266,2024-01-04,SKU016,PL02,WH02,L1,241,229,221,8,120,4,Material Wait,18.1,589.24
267,2024-01-04,SKU019,PL02,WH02,L4,216,197,194,3,120,10,Mechanical,22.38,458.25
268,2024-01-04,SKU022,PL02,WH02,L3,237,234,230,4,120,3,Cleaning,26.66,510.5
269,2024-01-04,SKU025,PL02,WH02,L2,253,219,213,6,120,12,Mechanical,16.31,513.74
270,2024-01-04,SKU028,PL02,WH02,L1,238,220,213,7,120,2,Cleaning,20.58,458.72
271,2024-01-04,SKU031,PL02,WH02,L4,240,219,213,6,120,4,Cleaning,24.86,419.6
272,2024-01-04,SKU034,PL02,WH02,L3,232,202,198,4,120,9,Changeover,29.14,433.7
