DeliveryLineID,OrderLineID,DispatchDate,DeliveredDate,ShippedCases,NetUnitPriceGBP,NetInvoiceGBP,StandardCostPerCaseGBP,COGSGBP,FreightGBP,CarrierCode,DeliveryStatus
72,186,2024-01-02,2024-01-04,24,27.17,652.08,17.73,425.52,19.0,CAR03,Delivered
73,3,2024-01-03,2024-01-05,96,24.6,2361.6,15.25,1464.0,40.6,CAR01,Delivered
74,5,2024-01-03,2024-01-05,57,51.12,2913.84,32.67,1862.19,26.95,CAR01,Delivered
75,9,2024-01-03,2024-01-04,44,32.11,1412.84,20.96,922.24,29.0,CAR02,Delivered
76,12,2024-01-03,2024-01-05,33,45.3,1494.9,28.09,926.97,23.5,CAR03,Delivered
77,15,2024-01-03,2024-01-06,47,54.43,2558.21,35.53,1669.91,30.5,CAR02,Delivered
78,22,2024-01-03,2024-01-05,94,34.3,3224.2,21.27,1999.38,54.0,CAR03,Delivered
79,23,2024-01-03,2024-01-05,54,31.14,1681.56,19.9,1074.6,34.0,CAR03,Delivered
80,28,2024-01-03,2024-01-06,34,51.12,1738.08,32.67,1110.78,18.9,CAR01,Delivered
81,30,2024-01-03,2024-01-06,61,53.3,3251.3,33.05,2016.05,37.5,CAR02,Delivered
82,31,2024-01-03,2024-01-05,85,29.35,2494.75,19.16,1628.6,49.5,CAR02,Delivered
83,33,2024-01-03,2024-01-04,31,33.73,1045.63,22.01,682.31,22.5,CAR03,Delivered
84,35,2024-01-03,2024-01-05,31,38.46,1192.26,25.92,803.52,17.85,CAR01,Delivered
85,39,2024-01-03,2024-01-05,96,33.67,3232.32,22.69,2178.24,40.6,CAR01,Delivered
86,40,2024-01-03,2024-01-04,30,39.96,1198.8,25.54,766.2,22.0,CAR02,Delivered
87,42,2024-01-03,2024-01-05,75,20.0,1500.0,12.4,930.0,44.5,CAR02,Delivered
88,46,2024-01-03,2024-01-04,58,35.34,2049.72,23.06,1337.48,36.0,CAR03,Delivered
89,47,2024-01-03,2024-01-05,90,28.98,2608.2,19.53,1757.7,52.0,CAR03,Delivered
90,49,2024-01-03,2024-01-04,27,19.57,528.39,12.77,344.79,16.45,CAR01,Delivered
91,49,2024-01-03,2024-01-05,28,19.57,547.96,12.77,357.56,21.0,CAR03,Delivered
92,51,2024-01-03,2024-01-06,42,40.85,1715.7,26.66,1119.72,28.0,CAR03,Delivered
93,52,2024-01-03,2024-01-05,110,17.39,1912.9,11.35,1248.5,45.5,CAR01,Delivered
94,56,2024-01-03,2024-01-04,84,41.2,3460.8,25.54,2145.36,49.0,CAR02,Delivered
95,57,2024-01-03,2024-01-04,78,41.89,3267.42,27.34,2132.52,34.3,CAR01,Delivered
96,59,2024-01-03,2024-01-06,86,24.0,2064.0,14.88,1279.68,37.1,CAR01,Delivered
97,60,2024-01-03,2024-01-06,75,34.44,2583.0,22.01,1650.75,44.5,CAR03,Delivered
98,64,2024-01-03,2024-01-05,45,33.37,1501.65,21.33,959.85,22.75,CAR01,Delivered
99,66,2024-01-03,2024-01-04,35,38.9,1361.5,24.86,870.1,24.5,CAR03,Delivered
100,69,2024-01-03,2024-01-04,26,41.2,1071.2,25.54,664.04,16.1,CAR01,Delivered
101,69,2024-01-03,2024-01-06,26,41.2,1071.2,25.54,664.04,20.0,CAR03,Delivered
102,74,2024-01-03,2024-01-06,46,31.14,1432.44,19.9,915.4,30.0,CAR02,Delivered
103,76,2024-01-03,2024-01-06,30,34.44,1033.2,22.01,660.3,17.5,CAR01,Delivered
104,77,2024-01-03,2024-01-05,22,43.24,951.28,29.14,641.08,18.0,CAR03,Delivered
105,77,2024-01-03,2024-01-06,22,43.24,951.28,29.14,641.08,14.7,CAR01,Delivered
106,78,2024-01-03,2024-01-06,91,38.0,3458.0,25.61,2330.51,52.5,CAR02,Delivered
107,79,2024-01-03,2024-01-05,107,37.2,3980.4,23.06,2467.42,60.5,CAR02,Delivered
108,80,2024-01-03,2024-01-05,89,24.75,2202.75,16.68,1484.52,38.15,CAR01,Delivered
109,82,2024-01-03,2024-01-05,34,22.63,769.42,15.25,518.5,24.0,CAR03,Delivered
110,87,2024-01-03,2024-01-04,109,34.22,3729.98,23.06,2513.54,61.5,CAR03,Delivered
111,93,2024-01-03,2024-01-06,55,33.2,1826.0,20.58,1131.9,26.25,CAR01,Delivered
112,100,2024-01-03,2024-01-05,74,51.7,3825.8,33.05,2445.7,32.9,CAR01,Delivered
113,102,2024-01-03,2024-01-04,40,31.5,1260.0,19.53,781.2,21.0,CAR01,Delivered
114,105,2024-01-03,2024-01-05,70,17.75,1242.5,11.35,794.5,42.0,CAR03,Delivered
115,106,2024-01-03,2024-01-04,27,39.56,1068.12,26.66,719.82,20.5,CAR03,Delivered
116,108,2024-01-03,2024-01-05,74,29.2,2160.8,18.1,1339.4,32.9,CAR01,Delivered
117,110,2024-01-03,2024-01-04,38,34.77,1321.26,22.69,862.22,26.0,CAR03,Delivered
118,112,2024-01-03,2024-01-05,96,43.51,4176.96,28.4,2726.4,55.0,CAR02,Delivered
119,113,2024-01-03,2024-01-04,95,24.0,2280.0,14.88,1413.6,54.5,CAR03,Delivered
120,116,2024-01-03,2024-01-04,101,21.76,2197.76,14.2,1434.2,57.5,CAR02,Delivered
121,126,2024-01-03,2024-01-06,67,27.16,1819.72,17.36,1163.12,30.45,CAR01,Delivered
122,127,2024-01-03,2024-01-06,36,44.43,1599.48,28.4,1022.4,25.0,CAR03,Delivered
123,130,2024-01-03,2024-01-05,42,53.3,2238.6,33.05,1388.1,28.0,CAR03,Delivered
124,133,2024-01-03,2024-01-06,66,32.0,2112.0,19.84,1309.44,30.1,CAR01,Delivered
125,137,2024-01-03,2024-01-05,72,44.43,3198.96,28.4,2044.8,32.2,CAR01,Delivered
126,140,2024-01-03,2024-01-06,70,32.66,2286.2,22.01,1540.7,31.5,CAR01,Delivered
127,141,2024-01-03,2024-01-06,46,36.67,1686.82,23.44,1078.24,30.0,CAR02,Delivered
128,141,2024-01-03,2024-01-06,46,36.67,1686.82,23.44,1078.24,30.0,CAR02,Delivered
129,152,2024-01-03,2024-01-04,43,34.78,1495.54,23.44,1007.92,28.5,CAR03,Delivered
130,154,2024-01-03,2024-01-05,26,23.18,602.68,15.62,406.12,20.0,CAR02,Delivered
131,156,2024-01-03,2024-01-06,34,35.5,1207.0,22.69,771.46,18.9,CAR01,Delivered
132,156,2024-01-03,2024-01-06,35,35.5,1242.5,22.69,794.15,24.5,CAR02,Delivered
133,160,2024-01-03,2024-01-04,103,39.01,4018.03,26.29,2707.87,43.05,CAR01,Delivered
134,165,2024-01-03,2024-01-05,37,35.88,1327.56,24.18,894.66,19.95,CAR01,Delivered
135,168,2024-01-03,2024-01-06,110,35.6,3916.0,22.75,2502.5,62.0,CAR02,Delivered
136,175,2024-01-03,2024-01-04,105,29.8,3129.0,18.48,1940.4,43.75,CAR01,Delivered
137,177,2024-01-03,2024-01-05,70,42.69,2988.3,28.77,2013.9,31.5,CAR01,Delivered
138,182,2024-01-03,2024-01-06,59,36.48,2152.32,23.81,1404.79,36.5,CAR02,Delivered
139,183,2024-01-03,2024-01-06,56,39.01,2184.56,26.29,1472.24,35.0,CAR03,Delivered
140,187,2024-01-03,2024-01-04,87,32.0,2784.0,19.84,1726.08,50.5,CAR03,Delivered
141,188,2024-01-03,2024-01-05,16,42.4,678.4,26.29,420.64,12.6,CAR01,Delivered
142,188,2024-01-03,2024-01-05,16,42.4,678.4,26.29,420.64,15.0,CAR03,Delivered
143,190,2024-01-03,2024-01-06,38,53.35,2027.3,34.1,1295.8,26.0,CAR03,Delivered
144,193,2024-01-03,2024-01-06,38,26.31,999.78,17.73,673.74,20.3,CAR01,Delivered
145,200,2024-01-03,2024-01-04,64,37.83,2421.12,24.18,1547.52,39.0,CAR03,Delivered
146,204,2024-01-03,2024-01-04,94,38.46,3615.24,25.92,2436.48,39.9,CAR01,Delivered
147,209,2024-01-03,2024-01-06,26,44.25,1150.5,29.82,775.32,20.0,CAR03,Delivered
148,211,2024-01-03,2024-01-06,105,21.07,2212.35,14.2,1491.0,43.75,CAR01,Delivered
149,212,2024-01-03,2024-01-06,87,45.36,3946.32,30.57,2659.59,50.5,CAR02,Delivered
150,214,2024-01-03,2024-01-04,110,44.1,4851.0,27.34,3007.4,62.0,CAR02,Delivered
151,219,2024-01-03,2024-01-04,108,42.4,4579.2,26.29,2839.32,61.0,CAR03,Delivered
152,226,2024-01-03,2024-01-04,90,44.8,4032.0,30.19,2717.1,52.0,CAR02,Delivered
153,227,2024-01-03,2024-01-06,25,34.77,869.25,22.69,567.25,19.5,CAR03,Delivered
154,227,2024-01-03,2024-01-04,26,34.77,904.02,22.69,589.94,20.0,CAR03,Delivered
155,228,2024-01-03,2024-01-04,67,16.84,1128.28,11.35,760.45,40.5,CAR03,Delivered
156,231,2024-01-03,2024-01-06,100,16.84,1684.0,11.35,1135.0,42.0,CAR01,Delivered
157,238,2024-01-03,2024-01-06,71,34.22,2429.62,23.06,1637.26,31.85,CAR01,Delivered
158,239,2024-01-03,2024-01-05,71,33.73,2394.83,22.01,1562.71,42.5,CAR02,Delivered
159,242,2024-01-03,2024-01-06,40,49.3,1972.0,30.57,1222.8,21.0,CAR01,Delivered
160,245,2024-01-03,2024-01-06,100,53.35,5335.0,34.1,3410.0,57.0,CAR03,Delivered
161,249,2024-01-03,2024-01-06,94,36.6,3440.4,22.69,2132.86,39.9,CAR01,Delivered
162,253,2024-01-03,2024-01-04,49,38.46,1884.54,25.92,1270.08,31.5,CAR03,Delivered
163,254,2024-01-03,2024-01-04,79,19.0,1501.0,12.4,979.6,34.65,CAR01,Delivered
164,258,2024-01-03,2024-01-05,61,32.0,1952.0,19.84,1210.24,37.5,CAR02,Delivered
165,259,2024-01-03,2024-01-04,87,22.63,1968.81,15.25,1326.75,50.5,CAR03,Delivered
166,262,2024-01-03,2024-01-06,22,43.36,953.92,27.71,609.62,18.0,CAR03,Delivered
167,262,2024-01-03,2024-01-04,22,43.36,953.92,27.71,609.62,18.0,CAR02,Delivered
168,266,2024-01-03,2024-01-06,33,33.85,1117.05,21.64,714.12,23.5,CAR03,Delivered
169,267,2024-01-03,2024-01-04,29,50.6,1467.4,34.1,988.9,17.15,CAR01,Delivered
170,271,2024-01-03,2024-01-06,40,52.25,2090.0,34.1,1364.0,27.0,CAR02,Delivered
171,272,2024-01-03,2024-01-04,49,44.25,2168.25,29.82,1461.18,31.5,CAR02,Delivered
172,272,2024-01-03,2024-01-06,50,44.25,2212.5,29.82,1491.0,32.0,CAR02,Delivered
173,274,2024-01-03,2024-01-05,35,32.6,1141.0,20.21,707.35,24.5,CAR03,Delivered
174,275,2024-01-03,2024-01-05,53,33.15,1756.95,21.64,1146.92,33.5,CAR02,Delivered
175,277,2024-01-03,2024-01-05,84,21.76,1827.84,14.2,1192.8,49.0,CAR03,Delivered
176,279,2024-01-03,2024-01-05,13,49.47,643.11,31.62,411.06,13.5,CAR02,Delivered
177,279,2024-01-03,2024-01-05,14,49.47,692.58,31.62,442.68,14.0,CAR03,Delivered
178,280,2024-01-03,2024-01-04,59,34.22,2018.98,23.06,1360.54,36.5,CAR03,Delivered
179,282,2024-01-03,2024-01-04,12,33.2,398.4,20.58,246.96,13.0,CAR02,Delivered
180,282,2024-01-03,2024-01-06,12,33.2,398.4,20.58,246.96,13.0,CAR02,Delivered
181,287,2024-01-03,2024-01-05,40,26.13,1045.2,17.05,682.0,27.0,CAR03,Delivered
182,288,2024-01-03,2024-01-05,36,26.31,947.16,17.73,638.28,25.0,CAR02,Delivered
183,288,2024-01-03,2024-01-04,36,26.31,947.16,17.73,638.28,25.0,CAR02,Delivered
184,289,2024-01-03,2024-01-05,73,31.54,2302.42,20.58,1502.34,43.5,CAR03,Delivered
185,295,2024-01-03,2024-01-06,35,37.2,1302.0,23.06,807.1,24.5,CAR02,Delivered
186,299,2024-01-03,2024-01-04,97,33.67,3265.99,22.69,2200.93,55.5,CAR03,Delivered
187,301,2024-01-03,2024-01-04,77,40.28,3101.56,26.29,2024.33,33.95,CAR01,Delivered
188,302,2024-01-03,2024-01-06,35,35.02,1225.7,22.38,783.3,24.5,CAR02,Delivered
189,302,2024-01-03,2024-01-04,36,35.02,1260.72,22.38,805.68,19.6,CAR01,Delivered
190,308,2024-01-03,2024-01-04,26,50.4,1310.4,31.25,812.5,20.0,CAR03,Delivered
191,309,2024-01-03,2024-01-05,58,39.14,2270.12,25.54,1481.32,27.3,CAR01,Delivered
192,316,2024-01-03,2024-01-04,99,18.4,1821.6,12.4,1227.6,41.65,CAR01,Delivered
193,318,2024-01-03,2024-01-06,66,43.24,2853.84,29.14,1923.24,30.1,CAR01,Delivered
194,320,2024-01-03,2024-01-04,99,21.07,2085.93,14.2,1405.8,56.5,CAR02,Delivered
195,325,2024-01-03,2024-01-06,45,29.99,1349.55,20.21,909.45,29.5,CAR03,Delivered
196,332,2024-01-03,2024-01-05,36,38.1,1371.6,24.86,894.96,19.6,CAR01,Delivered
197,333,2024-01-03,2024-01-04,17,48.48,824.16,32.67,555.39,15.5,CAR03,Delivered
198,333,2024-01-03,2024-01-04,17,48.48,824.16,32.67,555.39,15.5,CAR02,Delivered
199,343,2024-01-03,2024-01-05,85,33.8,2873.0,20.96,1781.6,49.5,CAR03,Delivered
200,353,2024-01-03,2024-01-04,96,32.66,3135.36,22.01,2112.96,40.6,CAR01,Delivered
201,354,2024-01-03,2024-01-04,28,36.89,1032.92,24.86,696.08,21.0,CAR02,Delivered
202,354,2024-01-03,2024-01-06,28,36.89,1032.92,24.86,696.08,21.0,CAR02,Delivered
203,356,2024-01-03,2024-01-04,56,55.0,3080.0,34.1,1909.6,35.0,CAR02,Delivered
204,357,2024-01-03,2024-01-05,21,23.86,501.06,15.25,320.25,17.5,CAR03,Delivered
205,357,2024-01-03,2024-01-05,22,23.86,524.92,15.25,335.5,18.0,CAR02,Delivered
206,358,2024-01-03,2024-01-06,103,16.84,1734.52,11.35,1169.05,58.5,CAR02,Delivered
207,364,2024-01-03,2024-01-06,71,48.89,3471.19,31.25,2218.75,42.5,CAR03,Delivered
208,366,2024-01-03,2024-01-04,87,28.43,2473.41,19.16,1666.92,50.5,CAR02,Delivered
209,368,2024-01-03,2024-01-05,63,17.39,1095.57,11.35,715.05,38.5,CAR03,Delivered
210,372,2024-01-03,2024-01-04,28,44.8,1254.4,30.19,845.32,16.8,CAR01,Delivered
211,372,2024-01-03,2024-01-04,28,44.8,1254.4,30.19,845.32,21.0,CAR02,Delivered
212,374,2024-01-03,2024-01-05,44,43.36,1907.84,27.71,1219.24,29.0,CAR02,Delivered
213,375,2024-01-03,2024-01-04,63,25.2,1587.6,15.62,984.06,38.5,CAR02,Delivered
214,376,2024-01-03,2024-01-04,52,41.2,2142.4,25.54,1328.08,33.0,CAR03,Delivered
215,376,2024-01-03,2024-01-04,52,41.2,2142.4,25.54,1328.08,25.2,CAR01,Delivered
216,381,2024-01-03,2024-01-06,43,43.94,1889.42,28.09,1207.87,28.5,CAR02,Delivered
217,381,2024-01-03,2024-01-05,43,43.94,1889.42,28.09,1207.87,28.5,CAR02,Delivered
218,382,2024-01-03,2024-01-05,91,18.3,1665.3,11.35,1032.85,52.5,CAR02,Delivered
219,384,2024-01-03,2024-01-04,25,38.4,960.0,23.81,595.25,15.75,CAR01,Delivered
220,384,2024-01-03,2024-01-06,25,38.4,960.0,23.81,595.25,19.5,CAR03,Delivered
221,386,2024-01-03,2024-01-04,92,29.44,2708.48,19.84,1825.28,53.0,CAR03,Delivered
222,2,2024-01-04,2024-01-06,64,46.37,2967.68,31.25,2000.0,39.0,CAR03,Delivered
223,7,2024-01-04,2024-01-07,37,41.2,1524.4,25.54,944.98,25.5,CAR03,Delivered
224,10,2024-01-04,2024-01-06,86,40.1,3448.6,24.86,2137.96,50.0,CAR03,Delivered
225,13,2024-01-04,2024-01-05,72,35.33,2543.76,23.81,1714.32,43.0,CAR02,Delivered
226,14,2024-01-04,2024-01-06,66,40.02,2641.32,26.97,1780.02,30.1,CAR01,Delivered
227,16,2024-01-04,2024-01-05,32,33.21,1062.72,22.38,716.16,23.0,CAR02,Delivered
228,21,2024-01-04,2024-01-06,29,37.25,1080.25,23.81,690.49,21.5,CAR02,Delivered
229,21,2024-01-04,2024-01-07,30,37.25,1117.5,23.81,714.3,17.5,CAR01,Delivered
230,25,2024-01-04,2024-01-07,95,33.21,3154.95,22.38,2126.1,40.25,CAR01,Delivered
231,26,2024-01-04,2024-01-07,108,35.88,3875.04,24.18,2611.44,44.8,CAR01,Delivered
232,27,2024-01-04,2024-01-07,26,20.6,535.6,12.77,332.02,16.1,CAR01,Delivered
233,29,2024-01-04,2024-01-05,97,23.86,2314.42,15.25,1479.25,55.5,CAR02,Delivered
234,34,2024-01-04,2024-01-05,63,53.35,3361.05,34.1,2148.3,29.05,CAR01,Delivered
235,37,2024-01-04,2024-01-07,27,22.63,611.01,15.25,411.75,20.5,CAR02,Delivered
236,41,2024-01-04,2024-01-07,45,25.76,1159.2,17.36,781.2,29.5,CAR02,Delivered
237,41,2024-01-04,2024-01-07,45,25.76,1159.2,17.36,781.2,29.5,CAR02,Delivered
238,44,2024-01-04,2024-01-07,86,55.58,4779.88,35.53,3055.58,50.0,CAR02,Delivered
239,48,2024-01-04,2024-01-07,92,21.76,2001.92,14.2,1306.4,53.0,CAR02,Delivered
240,53,2024-01-04,2024-01-05,83,32.68,2712.44,21.33,1770.39,36.05,CAR01,Delivered
241,54,2024-01-04,2024-01-07,89,45.59,4057.51,29.14,2593.46,38.15,CAR01,Delivered
242,55,2024-01-04,2024-01-05,15,27.17,407.55,17.73,265.95,14.5,CAR02,Delivered
243,55,2024-01-04,2024-01-06,15,27.17,407.55,17.73,265.95,12.25,CAR01,Delivered
244,58,2024-01-04,2024-01-07,64,45.7,2924.8,29.82,1908.48,39.0,CAR02,Delivered
245,61,2024-01-04,2024-01-07,22,31.1,684.2,20.96,461.12,18.0,CAR02,Delivered
246,61,2024-01-04,2024-01-05,22,31.1,684.2,20.96,461.12,18.0,CAR03,Delivered
247,65,2024-01-04,2024-01-07,30,41.12,1233.6,27.71,831.3,22.0,CAR03,Delivered
248,70,2024-01-04,2024-01-05,85,20.6,1751.0,12.77,1085.45,36.75,CAR01,Delivered
249,72,2024-01-04,2024-01-06,22,41.68,916.96,28.09,617.98,14.7,CAR01,Delivered
250,72,2024-01-04,2024-01-06,23,41.68,958.64,28.09,646.07,18.5,CAR02,Delivered
251,83,2024-01-04,2024-01-05,93,49.47,4600.71,31.62,2940.66,39.55,CAR01,Delivered
252,84,2024-01-04,2024-01-06,25,34.3,857.5,22.38,559.5,15.75,CAR01,Delivered
253,86,2024-01-04,2024-01-07,45,34.3,1543.5,22.38,1007.1,22.75,CAR01,Delivered
254,88,2024-01-04,2024-01-05,102,32.79,3344.58,20.96,2137.92,58.0,CAR03,Delivered
255,89,2024-01-04,2024-01-07,71,24.2,1718.2,16.31,1158.01,42.5,CAR02,Delivered
256,91,2024-01-04,2024-01-06,50,45.7,2285.0,29.82,1491.0,32.0,CAR02,Delivered
257,92,2024-01-04,2024-01-07,76,41.71,3169.96,26.66,2026.16,45.0,CAR03,Delivered
258,94,2024-01-04,2024-01-06,50,49.47,2473.5,31.62,1581.0,32.0,CAR03,Delivered
259,95,2024-01-04,2024-01-07,50,43.36,2168.0,27.71,1385.5,32.0,CAR03,Delivered
260,96,2024-01-04,2024-01-07,16,25.3,404.8,17.05,272.8,12.6,CAR01,Delivered
261,96,2024-01-04,2024-01-05,16,25.3,404.8,17.05,272.8,12.6,CAR01,Delivered
262,98,2024-01-04,2024-01-05,59,44.08,2600.72,28.77,1697.43,36.5,CAR03,Delivered
263,101,2024-01-04,2024-01-05,110,17.75,1952.5,11.35,1248.5,62.0,CAR03,Delivered
264,111,2024-01-04,2024-01-07,51,35.5,1810.5,22.01,1122.51,32.5,CAR03,Delivered
265,111,2024-01-04,2024-01-06,52,35.5,1846.0,22.01,1144.52,33.0,CAR03,Delivered
266,119,2024-01-04,2024-01-07,52,18.3,951.6,11.35,590.2,33.0,CAR02,Delivered
267,120,2024-01-04,2024-01-07,99,29.8,2950.2,18.48,1829.52,56.5,CAR03,Delivered
268,128,2024-01-04,2024-01-06,71,44.25,3141.75,29.82,2117.22,42.5,CAR02,Delivered
