OrderLineID,OrderID,LineNumber,OrderDate,PromisedDate,CustomerID,ProductID,ProductName,Category,Brand,UnitsPerCase,WarehouseID,OrderedCases,CancelledCases,ListPricePerCaseGBP,DiscountRate,PromoCode,OrderStatus
62,SO0000035,2,2024-01-01,2024-01-05,35,SKU048,Home Care Variant 12,Home Care,BrightNest,12,WH03,61,0,28.0,0,,Closed
63,SO0000036,1,2024-01-01,2024-01-05,36,SKU005,Beverages Variant 05,Beverages,Vale,6,WH04,89,0,27.5,0.05,,Closed
64,SO0000036,2,2024-01-01,2024-01-05,36,SKU008,Beverages Variant 08,Beverages,Vale,6,WH04,45,0,34.4,0.03,,Closed
65,SO0000037,1,2024-01-01,2024-01-05,37,SKU033,Personal Care Variant 09,Personal Care,Purely,12,WH01,30,0,44.7,0.08,,Closed
66,SO0000037,2,2024-01-01,2024-01-05,37,SKU031,Personal Care Variant 07,Personal Care,Purely,24,WH01,35,0,40.1,0.03,,Closed
67,SO0000038,1,2024-01-01,2024-01-05,38,SKU056,Packaged Foods Variant 08,Packaged Foods,PantryCo,6,WH02,85,0,50.4,0.03,,Closed
68,SO0000038,2,2024-01-01,2024-01-05,38,SKU053,Packaged Foods Variant 05,Packaged Foods,PantryCo,6,WH02,109,0,43.5,0,,Closed
69,SO0000039,1,2024-01-01,2024-01-05,39,SKU052,Packaged Foods Variant 04,Packaged Foods,PantryCo,24,WH03,52,0,41.2,0,,Closed
70,SO0000039,2,2024-01-01,2024-01-05,39,SKU002,Beverages Variant 02,Beverages,Vale,6,WH03,85,0,20.6,0,,Closed
71,SO0000040,1,2024-01-01,2024-01-05,40,SKU007,Beverages Variant 07,Beverages,Vale,24,WH04,81,81,32.1,0.08,,Cancelled
72,SO0000040,2,2024-01-01,2024-01-05,40,SKU023,Snacks Variant 11,Snacks,Crispa,6,WH04,45,0,45.3,0.08,,Closed
73,SO0000040,3,2024-01-01,2024-01-05,40,SKU002,Beverages Variant 02,Beverages,Vale,6,WH04,52,0,20.6,0.05,,Closed
74,SO0000041,1,2024-01-01,2024-01-05,41,SKU007,Beverages Variant 07,Beverages,Vale,24,WH01,46,0,32.1,0.03,,Closed
75,SO0000041,2,2024-01-01,2024-01-05,41,SKU043,Home Care Variant 07,Home Care,BrightNest,24,WH01,68,0,44.1,0.08,,Closed
76,SO0000042,1,2024-01-01,2024-01-05,42,SKU029,Personal Care Variant 05,Personal Care,Purely,6,WH02,30,0,35.5,0.03,,Closed
77,SO0000043,1,2024-01-01,2024-01-05,43,SKU034,Personal Care Variant 10,Personal Care,Purely,24,WH03,44,0,47.0,0.08,,Closed
78,SO0000044,1,2024-01-01,2024-01-05,44,SKU011,Beverages Variant 11,Beverages,Vale,6,WH04,91,0,41.3,0.08,,Closed
79,SO0000044,2,2024-01-01,2024-01-05,44,SKU040,Home Care Variant 04,Home Care,BrightNest,24,WH04,107,0,37.2,0,,Closed
80,SO0000045,1,2024-01-01,2024-01-05,45,SKU015,Snacks Variant 03,Snacks,Crispa,12,WH01,89,0,26.9,0.08,,Closed
81,SO0000046,1,2024-01-01,2024-01-05,46,SKU060,Packaged Foods Variant 12,Packaged Foods,PantryCo,12,WH02,58,0,32.0,0,,Closed
82,SO0000046,2,2024-01-01,2024-01-05,46,SKU014,Snacks Variant 02,Snacks,Crispa,6,WH02,34,0,24.6,0.08,,Closed
83,SO0000046,3,2024-01-01,2024-01-05,46,SKU046,Home Care Variant 10,Home Care,BrightNest,24,WH02,93,0,51.0,0.03,,Closed
84,SO0000047,1,2024-01-01,2024-01-05,47,SKU019,Snacks Variant 07,Snacks,Crispa,24,WH03,25,0,36.1,0.05,,Closed
85,SO0000048,1,2024-01-01,2024-01-05,48,SKU033,Personal Care Variant 09,Personal Care,Purely,12,WH04,106,0,44.7,0.05,,Closed
86,SO0000048,2,2024-01-01,2024-01-05,48,SKU019,Snacks Variant 07,Snacks,Crispa,24,WH04,45,0,36.1,0.05,,Closed
87,SO0000048,3,2024-01-01,2024-01-05,48,SKU040,Home Care Variant 04,Home Care,BrightNest,24,WH04,109,0,37.2,0.08,,Closed
88,SO0000049,1,2024-01-01,2024-01-05,49,SKU018,Snacks Variant 06,Snacks,Crispa,12,WH01,102,0,33.8,0.03,,Closed
89,SO0000049,2,2024-01-01,2024-01-05,49,SKU025,Personal Care Variant 01,Personal Care,Purely,24,WH01,71,0,26.3,0.08,,Closed
90,SO0000050,1,2024-01-01,2024-01-05,50,SKU033,Personal Care Variant 09,Personal Care,Purely,12,WH02,49,0,44.7,0.05,,Closed
91,SO0000050,2,2024-01-01,2024-01-05,50,SKU055,Packaged Foods Variant 07,Packaged Foods,PantryCo,24,WH02,50,0,48.1,0.05,,Closed
92,SO0000050,3,2024-01-01,2024-01-05,50,SKU022,Snacks Variant 10,Snacks,Crispa,24,WH02,76,0,43.0,0.03,,Closed
93,SO0000051,1,2024-01-01,2024-01-05,51,SKU028,Personal Care Variant 04,Personal Care,Purely,24,WH03,55,0,33.2,0,,Closed
94,SO0000051,2,2024-01-01,2024-01-05,51,SKU046,Home Care Variant 10,Home Care,BrightNest,24,WH03,50,0,51.0,0.03,,Closed
95,SO0000051,3,2024-01-01,2024-01-05,51,SKU033,Personal Care Variant 09,Personal Care,Purely,12,WH03,50,0,44.7,0.03,,Closed
96,SO0000052,1,2024-01-01,2024-01-05,52,SKU005,Beverages Variant 05,Beverages,Vale,6,WH04,32,0,27.5,0.08,,Closed
97,SO0000052,2,2024-01-01,2024-01-05,52,SKU017,Snacks Variant 05,Snacks,Crispa,6,WH04,52,0,31.5,0.08,,Closed
98,SO0000052,3,2024-01-01,2024-01-05,52,SKU044,Home Care Variant 08,Home Care,BrightNest,6,WH04,59,0,46.4,0.05,,Closed
99,SO0000053,1,2024-01-01,2024-01-05,53,SKU028,Personal Care Variant 04,Personal Care,Purely,24,WH01,96,0,33.2,0.08,,Closed
100,SO0000053,2,2024-01-01,2024-01-05,53,SKU047,Home Care Variant 11,Home Care,BrightNest,6,WH01,74,0,53.3,0.03,,Closed
101,SO0000054,1,2024-01-01,2024-01-05,54,SKU001,Beverages Variant 01,Beverages,Vale,24,WH02,110,0,18.3,0.03,,Closed
102,SO0000054,2,2024-01-01,2024-01-05,54,SKU017,Snacks Variant 05,Snacks,Crispa,6,WH02,40,0,31.5,0,,Closed
103,SO0000055,1,2024-01-01,2024-01-05,55,SKU010,Beverages Variant 10,Beverages,Vale,24,WH03,65,0,39.0,0.03,,Closed
104,SO0000055,2,2024-01-01,2024-01-05,55,SKU028,Personal Care Variant 04,Personal Care,Purely,24,WH03,38,0,33.2,0.05,,Closed
105,SO0000055,3,2024-01-01,2024-01-05,55,SKU001,Beverages Variant 01,Beverages,Vale,24,WH03,70,0,18.3,0.03,,Closed
106,SO0000056,1,2024-01-01,2024-01-05,56,SKU022,Snacks Variant 10,Snacks,Crispa,24,WH04,27,0,43.0,0.08,,Closed
107,SO0000056,2,2024-01-01,2024-01-05,56,SKU041,Home Care Variant 05,Home Care,BrightNest,6,WH04,74,0,39.5,0,,Closed
108,SO0000057,1,2024-01-01,2024-01-05,57,SKU016,Snacks Variant 04,Snacks,Crispa,24,WH01,74,0,29.2,0,,Closed
109,SO0000058,1,2024-01-01,2024-01-05,58,SKU020,Snacks Variant 08,Snacks,Crispa,6,WH02,55,0,38.4,0,,Closed
110,SO0000059,1,2024-01-01,2024-01-05,59,SKU050,Packaged Foods Variant 02,Packaged Foods,PantryCo,6,WH03,38,0,36.6,0.05,,Closed
111,SO0000059,2,2024-01-01,2024-01-05,59,SKU029,Personal Care Variant 05,Personal Care,Purely,6,WH03,103,0,35.5,0,,Closed
112,SO0000059,3,2024-01-01,2024-01-05,59,SKU054,Packaged Foods Variant 06,Packaged Foods,PantryCo,12,WH03,96,0,45.8,0.05,,Closed
113,SO0000060,1,2024-01-01,2024-01-05,60,SKU036,Personal Care Variant 12,Personal Care,Purely,12,WH04,95,0,24.0,0,,Closed
114,SO0000060,2,2024-01-01,2024-01-05,60,SKU058,Packaged Foods Variant 10,Packaged Foods,PantryCo,24,WH04,70,0,55.0,0.03,,Closed
115,SO0000061,1,2024-01-01,2024-01-05,61,SKU057,Packaged Foods Variant 09,Packaged Foods,PantryCo,12,WH01,109,0,52.7,0.03,,Closed
116,SO0000061,2,2024-01-01,2024-01-05,61,SKU003,Beverages Variant 03,Beverages,Vale,12,WH01,101,0,22.9,0.05,,Closed
117,SO0000062,1,2024-01-01,2024-01-05,62,SKU040,Home Care Variant 04,Home Care,BrightNest,24,WH02,24,0,37.2,0.05,,Closed
118,SO0000062,2,2024-01-01,2024-01-05,62,SKU018,Snacks Variant 06,Snacks,Crispa,12,WH02,36,0,33.8,0.03,,Closed
119,SO0000063,1,2024-01-01,2024-01-05,63,SKU001,Beverages Variant 01,Beverages,Vale,24,WH03,52,0,18.3,0,,Closed
120,SO0000063,2,2024-01-01,2024-01-05,63,SKU006,Beverages Variant 06,Beverages,Vale,12,WH03,99,0,29.8,0,,Closed
121,SO0000064,1,2024-01-01,2024-01-05,64,SKU014,Snacks Variant 02,Snacks,Crispa,6,WH04,80,0,24.6,0.03,,Closed
122,SO0000065,1,2024-01-01,2024-01-05,65,SKU040,Home Care Variant 04,Home Care,BrightNest,24,WH01,41,0,37.2,0,,Closed
123,SO0000065,2,2024-01-01,2024-01-05,65,SKU015,Snacks Variant 03,Snacks,Crispa,12,WH01,85,0,26.9,0,,Closed
124,SO0000065,3,2024-01-01,2024-01-05,65,SKU031,Personal Care Variant 07,Personal Care,Purely,24,WH01,60,0,40.1,0.03,,Closed
125,SO0000066,1,2024-01-01,2024-01-05,66,SKU040,Home Care Variant 04,Home Care,BrightNest,24,WH02,87,0,37.2,0.05,,Closed
126,SO0000066,2,2024-01-01,2024-01-05,66,SKU048,Home Care Variant 12,Home Care,BrightNest,12,WH02,67,0,28.0,0.03,,Closed
127,SO0000067,1,2024-01-01,2024-01-05,67,SKU054,Packaged Foods Variant 06,Packaged Foods,PantryCo,12,WH03,36,0,45.8,0.03,,Closed
128,SO0000067,2,2024-01-01,2024-01-05,67,SKU055,Packaged Foods Variant 07,Packaged Foods,PantryCo,24,WH03,71,0,48.1,0.08,,Closed
129,SO0000067,3,2024-01-01,2024-01-05,67,SKU040,Home Care Variant 04,Home Care,BrightNest,24,WH03,91,0,37.2,0,,Closed
130,SO0000068,1,2024-01-01,2024-01-05,68,SKU047,Home Care Variant 11,Home Care,BrightNest,6,WH04,42,0,53.3,0,,Closed
131,SO0000068,2,2024-01-01,2024-01-05,68,SKU048,Home Care Variant 12,Home Care,BrightNest,12,WH04,76,76,28.0,0,,Cancelled
132,SO0000069,1,2024-01-01,2024-01-05,69,SKU036,Personal Care Variant 12,Personal Care,Purely,12,WH01,103,0,24.0,0.05,,Closed
133,SO0000069,2,2024-01-01,2024-01-05,69,SKU060,Packaged Foods Variant 12,Packaged Foods,PantryCo,12,WH01,66,0,32.0,0,,Closed
134,SO0000070,1,2024-01-01,2024-01-05,70,SKU009,Beverages Variant 09,Beverages,Vale,12,WH02,106,0,36.7,0,,Closed
135,SO0000070,2,2024-01-01,2024-01-05,70,SKU015,Snacks Variant 03,Snacks,Crispa,12,WH02,54,0,26.9,0.08,,Closed
136,SO0000071,1,2024-01-01,2024-01-05,71,SKU049,Packaged Foods Variant 01,Packaged Foods,PantryCo,24,WH03,44,0,34.3,0,,Closed
137,SO0000071,2,2024-01-01,2024-01-05,71,SKU054,Packaged Foods Variant 06,Packaged Foods,PantryCo,12,WH03,72,0,45.8,0.03,,Closed
138,SO0000071,3,2024-01-01,2024-01-05,71,SKU044,Home Care Variant 08,Home Care,BrightNest,6,WH03,25,0,46.4,0,,Closed
139,SO0000072,1,2024-01-01,2024-01-05,72,SKU042,Home Care Variant 06,Home Care,BrightNest,12,WH04,99,0,41.8,0,,Closed
140,SO0000073,1,2024-01-01,2024-01-05,73,SKU029,Personal Care Variant 05,Personal Care,Purely,6,WH01,70,0,35.5,0.08,,Closed
141,SO0000073,2,2024-01-01,2024-01-05,73,SKU030,Personal Care Variant 06,Personal Care,Purely,12,WH01,92,0,37.8,0.03,,Closed
142,SO0000073,3,2024-01-01,2024-01-05,73,SKU027,Personal Care Variant 03,Personal Care,Purely,12,WH01,102,0,30.9,0.03,,Closed
143,SO0000074,1,2024-01-01,2024-01-05,74,SKU046,Home Care Variant 10,Home Care,BrightNest,24,WH02,64,0,51.0,0.03,,Closed
144,SO0000075,1,2024-01-01,2024-01-05,75,SKU009,Beverages Variant 09,Beverages,Vale,12,WH03,45,0,36.7,0.05,,Closed
145,SO0000075,2,2024-01-01,2024-01-05,75,SKU013,Snacks Variant 01,Snacks,Crispa,24,WH03,59,0,22.3,0.05,,Closed
146,SO0000076,1,2024-01-01,2024-01-05,76,SKU055,Packaged Foods Variant 07,Packaged Foods,PantryCo,24,WH04,37,37,48.1,0.03,,Cancelled
147,SO0000076,2,2024-01-01,2024-01-05,76,SKU028,Personal Care Variant 04,Personal Care,Purely,24,WH04,102,0,33.2,0,,Closed
148,SO0000077,1,2024-01-01,2024-01-05,77,SKU042,Home Care Variant 06,Home Care,BrightNest,12,WH01,31,0,41.8,0.08,,Closed
149,SO0000077,2,2024-01-01,2024-01-05,77,SKU001,Beverages Variant 01,Beverages,Vale,24,WH01,93,93,18.3,0,,Cancelled
150,SO0000077,3,2024-01-01,2024-01-05,77,SKU052,Packaged Foods Variant 04,Packaged Foods,PantryCo,24,WH01,54,0,41.2,0.05,,Closed
151,SO0000078,1,2024-01-01,2024-01-05,78,SKU051,Packaged Foods Variant 03,Packaged Foods,PantryCo,12,WH02,62,62,38.9,0.08,,Cancelled
152,SO0000079,1,2024-01-01,2024-01-05,79,SKU030,Personal Care Variant 06,Personal Care,Purely,12,WH03,43,0,37.8,0.08,,Closed
153,SO0000080,1,2024-01-01,2024-01-05,80,SKU046,Home Care Variant 10,Home Care,BrightNest,24,WH04,62,0,51.0,0,,Closed
154,SO0000081,1,2024-01-01,2024-01-05,81,SKU004,Beverages Variant 04,Beverages,Vale,24,WH01,26,0,25.2,0.08,,Closed
155,SO0000082,1,2024-01-01,2024-01-05,82,SKU006,Beverages Variant 06,Beverages,Vale,12,WH02,105,0,29.8,0.05,,Closed
156,SO0000083,1,2024-01-01,2024-01-05,83,SKU050,Packaged Foods Variant 02,Packaged Foods,PantryCo,6,WH03,69,0,36.6,0.03,,Closed
157,SO0000084,1,2024-01-01,2024-01-05,84,SKU027,Personal Care Variant 03,Personal Care,Purely,12,WH04,97,0,30.9,0.08,,Closed
158,SO0000084,2,2024-01-01,2024-01-05,84,SKU033,Personal Care Variant 09,Personal Care,Purely,12,WH04,83,0,44.7,0.08,,Closed
159,SO0000085,1,2024-01-01,2024-01-05,85,SKU060,Packaged Foods Variant 12,Packaged Foods,PantryCo,12,WH01,47,0,32.0,0,,Closed
160,SO0000085,2,2024-01-01,2024-01-05,85,SKU032,Personal Care Variant 08,Personal Care,Purely,6,WH01,103,0,42.4,0.08,,Closed
161,SO0000086,1,2024-01-01,2024-01-05,86,SKU042,Home Care Variant 06,Home Care,BrightNest,12,WH02,110,0,41.8,0.05,,Closed
162,SO0000086,2,2024-01-01,2024-01-05,86,SKU036,Personal Care Variant 12,Personal Care,Purely,12,WH02,76,76,24.0,0.08,,Cancelled
163,SO0000086,3,2024-01-01,2024-01-05,86,SKU021,Snacks Variant 09,Snacks,Crispa,12,WH02,56,0,40.7,0,,Closed
164,SO0000087,1,2024-01-01,2024-01-05,87,SKU059,Packaged Foods Variant 11,Packaged Foods,PantryCo,6,WH03,40,0,57.3,0.08,,Closed
165,SO0000087,2,2024-01-01,2024-01-05,87,SKU010,Beverages Variant 10,Beverages,Vale,24,WH03,37,0,39.0,0.08,,Closed
166,SO0000087,3,2024-01-01,2024-01-05,87,SKU035,Personal Care Variant 11,Personal Care,Purely,6,WH03,78,0,49.3,0.08,,Closed
167,SO0000088,1,2024-01-01,2024-01-05,88,SKU046,Home Care Variant 10,Home Care,BrightNest,24,WH04,83,83,51.0,0,,Cancelled
168,SO0000088,2,2024-01-01,2024-01-05,88,SKU009,Beverages Variant 09,Beverages,Vale,12,WH04,110,0,36.7,0.03,,Closed
169,SO0000088,3,2024-01-01,2024-01-05,88,SKU021,Snacks Variant 09,Snacks,Crispa,12,WH04,85,0,40.7,0.03,,Closed
170,SO0000089,1,2024-01-01,2024-01-05,89,SKU027,Personal Care Variant 03,Personal Care,Purely,12,WH01,67,0,30.9,0.05,,Closed
171,SO0000089,2,2024-01-01,2024-01-05,89,SKU028,Personal Care Variant 04,Personal Care,Purely,24,WH01,100,0,33.2,0.08,,Closed
172,SO0000089,3,2024-01-01,2024-01-05,89,SKU021,Snacks Variant 09,Snacks,Crispa,12,WH01,36,0,40.7,0,,Closed
173,SO0000090,1,2024-01-01,2024-01-05,90,SKU052,Packaged Foods Variant 04,Packaged Foods,PantryCo,24,WH02,43,0,41.2,0.05,,Closed
174,SO0000091,1,2024-01-01,2024-01-05,91,SKU013,Snacks Variant 01,Snacks,Crispa,24,WH03,104,0,22.3,0.03,,Closed
175,SO0000092,1,2024-01-01,2024-01-05,92,SKU006,Beverages Variant 06,Beverages,Vale,12,WH04,105,0,29.8,0,,Closed
176,SO0000092,2,2024-01-01,2024-01-05,92,SKU029,Personal Care Variant 05,Personal Care,Purely,6,WH04,104,0,35.5,0.03,,Closed
177,SO0000092,3,2024-01-01,2024-01-05,92,SKU044,Home Care Variant 08,Home Care,BrightNest,6,WH04,70,0,46.4,0.08,,Closed
178,SO0000093,1,2024-01-01,2024-01-05,93,SKU035,Personal Care Variant 11,Personal Care,Purely,6,WH01,33,0,49.3,0,,Closed
179,SO0000093,2,2024-01-01,2024-01-05,93,SKU032,Personal Care Variant 08,Personal Care,Purely,6,WH01,99,0,42.4,0,,Closed
180,SO0000093,3,2024-01-01,2024-01-05,93,SKU052,Packaged Foods Variant 04,Packaged Foods,PantryCo,24,WH01,40,0,41.2,0.08,,Closed
181,SO0000094,1,2024-01-01,2024-01-05,94,SKU053,Packaged Foods Variant 05,Packaged Foods,PantryCo,6,WH02,85,0,43.5,0.05,,Closed
182,SO0000094,2,2024-01-01,2024-01-05,94,SKU020,Snacks Variant 08,Snacks,Crispa,6,WH02,59,0,38.4,0.05,,Closed
