SnapshotID,SnapshotDate,WarehouseID,ProductID,OpeningCases,ProductionReceiptCases,ShippedCases,WriteOffCases,ClosingCases,StandardCostPerCaseGBP,ClosingValueGBP,SafetyStockCases
28,2024-01-01,WH01,SKU028,300,0,0,0,300,20.58,6174.0,180
29,2024-01-01,WH01,SKU029,300,199,0,0,499,22.01,10982.99,180
30,2024-01-01,WH01,SKU030,300,0,0,0,300,23.44,7032.0,180
31,2024-01-01,WH01,SKU031,300,0,0,0,300,24.86,7458.0,180
32,2024-01-01,WH01,SKU032,300,215,0,0,515,26.29,13539.35,180
33,2024-01-01,WH01,SKU033,300,0,0,0,300,27.71,8313.0,180
34,2024-01-01,WH01,SKU034,300,0,0,0,300,29.14,8742.0,180
35,2024-01-01,WH01,SKU035,300,198,0,0,498,30.57,15223.86,180
36,2024-01-01,WH01,SKU036,300,0,0,0,300,14.88,4464.0,180
37,2024-01-01,WH01,SKU037,300,0,0,0,300,18.79,5637.0,180
38,2024-01-01,WH01,SKU038,300,195,0,0,495,20.21,10003.95,180
39,2024-01-01,WH01,SKU039,300,0,0,0,300,21.64,6492.0,180
40,2024-01-01,WH01,SKU040,300,0,0,0,300,23.06,6918.0,180
41,2024-01-01,WH01,SKU041,300,198,0,0,498,24.49,12196.02,180
42,2024-01-01,WH01,SKU042,300,0,0,0,300,25.92,7776.0,180
43,2024-01-01,WH01,SKU043,300,0,0,0,300,27.34,8202.0,180
44,2024-01-01,WH01,SKU044,300,171,0,0,471,28.77,13550.67,180
45,2024-01-01,WH01,SKU045,300,0,0,0,300,30.19,9057.0,180
46,2024-01-01,WH01,SKU046,300,0,0,0,300,31.62,9486.0,180
47,2024-01-01,WH01,SKU047,300,206,0,0,506,33.05,16723.3,180
48,2024-01-01,WH01,SKU048,300,0,0,0,300,17.36,5208.0,180
49,2024-01-01,WH01,SKU049,300,0,0,0,300,21.27,6381.0,180
50,2024-01-01,WH01,SKU050,300,214,0,0,514,22.69,11662.66,180
51,2024-01-01,WH01,SKU051,300,0,0,0,300,24.12,7236.0,180
52,2024-01-01,WH01,SKU052,300,0,0,0,300,25.54,7662.0,180
53,2024-01-01,WH01,SKU053,300,210,0,0,510,26.97,13754.7,180
54,2024-01-01,WH01,SKU054,300,0,0,0,300,28.4,8520.0,180
55,2024-01-01,WH01,SKU055,300,0,0,0,300,29.82,8946.0,180
56,2024-01-01,WH01,SKU056,300,179,0,0,479,31.25,14968.75,180
57,2024-01-01,WH01,SKU057,300,0,0,0,300,32.67,9801.0,180
58,2024-01-01,WH01,SKU058,300,0,0,0,300,34.1,10230.0,180
59,2024-01-01,WH01,SKU059,300,192,0,0,492,35.53,17480.76,180
60,2024-01-01,WH01,SKU060,300,0,0,0,300,19.84,5952.0,180
61,2024-01-01,WH02,SKU001,300,233,0,1,532,11.35,6038.2,180
62,2024-01-01,WH02,SKU002,300,0,0,0,300,12.77,3831.0,180
63,2024-01-01,WH02,SKU003,300,0,0,0,300,14.2,4260.0,180
64,2024-01-01,WH02,SKU004,300,218,0,0,518,15.62,8091.16,180
65,2024-01-01,WH02,SKU005,300,0,0,0,300,17.05,5115.0,180
66,2024-01-01,WH02,SKU006,300,0,0,0,300,18.48,5544.0,180
67,2024-01-01,WH02,SKU007,300,212,0,1,511,19.9,10168.9,180
68,2024-01-01,WH02,SKU008,300,0,0,0,300,21.33,6399.0,180
69,2024-01-01,WH02,SKU009,300,0,0,0,300,22.75,6825.0,180
70,2024-01-01,WH02,SKU010,300,205,0,0,505,24.18,12210.9,180
71,2024-01-01,WH02,SKU011,300,0,0,0,300,25.61,7683.0,180
72,2024-01-01,WH02,SKU012,300,0,0,0,300,9.92,2976.0,180
73,2024-01-01,WH02,SKU013,300,183,0,0,483,13.83,6679.89,180
74,2024-01-01,WH02,SKU014,300,0,0,0,300,15.25,4575.0,180
75,2024-01-01,WH02,SKU015,300,0,0,0,300,16.68,5004.0,180
76,2024-01-01,WH02,SKU016,300,186,0,0,486,18.1,8796.6,180
77,2024-01-01,WH02,SKU017,300,0,0,0,300,19.53,5859.0,180
78,2024-01-01,WH02,SKU018,300,0,0,0,300,20.96,6288.0,180
79,2024-01-01,WH02,SKU019,300,218,0,0,518,22.38,11592.84,180
80,2024-01-01,WH02,SKU020,300,0,0,0,300,23.81,7143.0,180
81,2024-01-01,WH02,SKU021,300,0,0,0,300,25.23,7569.0,180
82,2024-01-01,WH02,SKU022,300,190,0,0,490,26.66,13063.4,180
83,2024-01-01,WH02,SKU023,300,0,0,0,300,28.09,8427.0,180
84,2024-01-01,WH02,SKU024,300,0,0,0,300,12.4,3720.0,180
85,2024-01-01,WH02,SKU025,300,196,0,0,496,16.31,8089.76,180
86,2024-01-01,WH02,SKU026,300,0,0,0,300,17.73,5319.0,180
87,2024-01-01,WH02,SKU027,300,0,0,0,300,19.16,5748.0,180
88,2024-01-01,WH02,SKU028,300,211,0,0,511,20.58,10516.38,180
89,2024-01-01,WH02,SKU029,300,0,0,0,300,22.01,6603.0,180
90,2024-01-01,WH02,SKU030,300,0,0,0,300,23.44,7032.0,180
91,2024-01-01,WH02,SKU031,300,194,0,0,494,24.86,12280.84,180
92,2024-01-01,WH02,SKU032,300,0,0,0,300,26.29,7887.0,180
93,2024-01-01,WH02,SKU033,300,0,0,0,300,27.71,8313.0,180
94,2024-01-01,WH02,SKU034,300,196,0,0,496,29.14,14453.44,180
95,2024-01-01,WH02,SKU035,300,0,0,0,300,30.57,9171.0,180
96,2024-01-01,WH02,SKU036,300,0,0,0,300,14.88,4464.0,180
97,2024-01-01,WH02,SKU037,300,197,0,0,497,18.79,9338.63,180
98,2024-01-01,WH02,SKU038,300,0,0,0,300,20.21,6063.0,180
99,2024-01-01,WH02,SKU039,300,0,0,0,300,21.64,6492.0,180
100,2024-01-01,WH02,SKU040,300,205,0,0,505,23.06,11645.3,180
101,2024-01-01,WH02,SKU041,300,0,0,0,300,24.49,7347.0,180
102,2024-01-01,WH02,SKU042,300,0,0,0,300,25.92,7776.0,180
103,2024-01-01,WH02,SKU043,300,205,0,0,505,27.34,13806.7,180
104,2024-01-01,WH02,SKU044,300,0,0,0,300,28.77,8631.0,180
105,2024-01-01,WH02,SKU045,300,0,0,0,300,30.19,9057.0,180
106,2024-01-01,WH02,SKU046,300,187,0,0,487,31.62,15398.94,180
107,2024-01-01,WH02,SKU047,300,0,0,0,300,33.05,9915.0,180
108,2024-01-01,WH02,SKU048,300,0,0,0,300,17.36,5208.0,180
109,2024-01-01,WH02,SKU049,300,188,0,0,488,21.27,10379.76,180
110,2024-01-01,WH02,SKU050,300,0,0,0,300,22.69,6807.0,180
111,2024-01-01,WH02,SKU051,300,0,0,0,300,24.12,7236.0,180
112,2024-01-01,WH02,SKU052,300,171,0,0,471,25.54,12029.34,180
113,2024-01-01,WH02,SKU053,300,0,0,0,300,26.97,8091.0,180
114,2024-01-01,WH02,SKU054,300,0,0,0,300,28.4,8520.0,180
115,2024-01-01,WH02,SKU055,300,227,0,0,527,29.82,15715.14,180
116,2024-01-01,WH02,SKU056,300,0,0,0,300,31.25,9375.0,180
117,2024-01-01,WH02,SKU057,300,0,0,0,300,32.67,9801.0,180
118,2024-01-01,WH02,SKU058,300,216,0,0,516,34.1,17595.6,180
119,2024-01-01,WH02,SKU059,300,0,0,0,300,35.53,10659.0,180
120,2024-01-01,WH02,SKU060,300,0,0,0,300,19.84,5952.0,180
121,2024-01-01,WH03,SKU001,300,0,0,0,300,11.35,3405.0,180
122,2024-01-01,WH03,SKU002,300,0,0,0,300,12.77,3831.0,180
123,2024-01-01,WH03,SKU003,300,212,0,0,512,14.2,7270.4,180
124,2024-01-01,WH03,SKU004,300,0,0,0,300,15.62,4686.0,180
125,2024-01-01,WH03,SKU005,300,0,0,0,300,17.05,5115.0,180
126,2024-01-01,WH03,SKU006,300,202,0,0,502,18.48,9276.96,180
127,2024-01-01,WH03,SKU007,300,0,0,0,300,19.9,5970.0,180
128,2024-01-01,WH03,SKU008,300,0,0,0,300,21.33,6399.0,180
129,2024-01-01,WH03,SKU009,300,188,0,0,488,22.75,11102.0,180
130,2024-01-01,WH03,SKU010,300,0,0,0,300,24.18,7254.0,180
131,2024-01-01,WH03,SKU011,300,0,0,0,300,25.61,7683.0,180
132,2024-01-01,WH03,SKU012,300,188,0,0,488,9.92,4840.96,180
133,2024-01-01,WH03,SKU013,300,0,0,0,300,13.83,4149.0,180
134,2024-01-01,WH03,SKU014,300,0,0,0,300,15.25,4575.0,180
135,2024-01-01,WH03,SKU015,300,211,0,0,511,16.68,8523.48,180
136,2024-01-01,WH03,SKU016,300,0,0,0,300,18.1,5430.0,180
137,2024-01-01,WH03,SKU017,300,0,0,0,300,19.53,5859.0,180
138,2024-01-01,WH03,SKU018,300,209,0,0,509,20.96,10668.64,180
139,2024-01-01,WH03,SKU019,300,0,0,0,300,22.38,6714.0,180
140,2024-01-01,WH03,SKU020,300,0,0,0,300,23.81,7143.0,180
141,2024-01-01,WH03,SKU021,300,200,0,0,500,25.23,12615.0,180
142,2024-01-01,WH03,SKU022,300,0,0,0,300,26.66,7998.0,180
143,2024-01-01,WH03,SKU023,300,0,0,0,300,28.09,8427.0,180
144,2024-01-01,WH03,SKU024,300,206,0,0,506,12.4,6274.4,180
145,2024-01-01,WH03,SKU025,300,0,0,0,300,16.31,4893.0,180
146,2024-01-01,WH03,SKU026,300,0,0,0,300,17.73,5319.0,180
147,2024-01-01,WH03,SKU027,300,230,0,0,530,19.16,10154.8,180
148,2024-01-01,WH03,SKU028,300,0,0,0,300,20.58,6174.0,180
149,2024-01-01,WH03,SKU029,300,0,0,0,300,22.01,6603.0,180
150,2024-01-01,WH03,SKU030,300,222,0,0,522,23.44,12235.68,180
151,2024-01-01,WH03,SKU031,300,0,0,0,300,24.86,7458.0,180
152,2024-01-01,WH03,SKU032,300,0,0,0,300,26.29,7887.0,180
153,2024-01-01,WH03,SKU033,300,207,0,0,507,27.71,14048.97,180
154,2024-01-01,WH03,SKU034,300,0,0,0,300,29.14,8742.0,180
155,2024-01-01,WH03,SKU035,300,0,0,0,300,30.57,9171.0,180
156,2024-01-01,WH03,SKU036,300,190,0,0,490,14.88,7291.2,180
157,2024-01-01,WH03,SKU037,300,0,0,0,300,18.79,5637.0,180
158,2024-01-01,WH03,SKU038,300,0,0,0,300,20.21,6063.0,180
159,2024-01-01,WH03,SKU039,300,209,0,0,509,21.64,11014.76,180
160,2024-01-01,WH03,SKU040,300,0,0,0,300,23.06,6918.0,180
161,2024-01-01,WH03,SKU041,300,0,0,0,300,24.49,7347.0,180
162,2024-01-01,WH03,SKU042,300,183,0,0,483,25.92,12519.36,180
163,2024-01-01,WH03,SKU043,300,0,0,0,300,27.34,8202.0,180
164,2024-01-01,WH03,SKU044,300,0,0,0,300,28.77,8631.0,180
165,2024-01-01,WH03,SKU045,300,210,0,0,510,30.19,15396.9,180
166,2024-01-01,WH03,SKU046,300,0,0,0,300,31.62,9486.0,180
167,2024-01-01,WH03,SKU047,300,0,0,0,300,33.05,9915.0,180
168,2024-01-01,WH03,SKU048,300,236,0,0,536,17.36,9304.96,180
169,2024-01-01,WH03,SKU049,300,0,0,0,300,21.27,6381.0,180
170,2024-01-01,WH03,SKU050,300,0,0,0,300,22.69,6807.0,180
171,2024-01-01,WH03,SKU051,300,238,0,0,538,24.12,12976.56,180
172,2024-01-01,WH03,SKU052,300,0,0,0,300,25.54,7662.0,180
173,2024-01-01,WH03,SKU053,300,0,0,0,300,26.97,8091.0,180
174,2024-01-01,WH03,SKU054,300,245,0,0,545,28.4,15478.0,180
175,2024-01-01,WH03,SKU055,300,0,0,0,300,29.82,8946.0,180
176,2024-01-01,WH03,SKU056,300,0,0,0,300,31.25,9375.0,180
177,2024-01-01,WH03,SKU057,300,180,0,0,480,32.67,15681.6,180
178,2024-01-01,WH03,SKU058,300,0,0,0,300,34.1,10230.0,180
179,2024-01-01,WH03,SKU059,300,0,0,0,300,35.53,10659.0,180
180,2024-01-01,WH03,SKU060,300,213,0,0,513,19.84,10177.92,180
181,2024-01-01,WH04,SKU001,300,0,0,0,300,11.35,3405.0,180
182,2024-01-01,WH04,SKU002,300,189,0,0,489,12.77,6244.53,180
183,2024-01-01,WH04,SKU003,300,0,0,0,300,14.2,4260.0,180
184,2024-01-01,WH04,SKU004,300,0,0,0,300,15.62,4686.0,180
185,2024-01-01,WH04,SKU005,300,188,0,0,488,17.05,8320.4,180
186,2024-01-01,WH04,SKU006,300,0,0,0,300,18.48,5544.0,180
187,2024-01-01,WH04,SKU007,300,0,0,0,300,19.9,5970.0,180
188,2024-01-01,WH04,SKU008,300,232,0,0,532,21.33,11347.56,180
189,2024-01-01,WH04,SKU009,300,0,0,0,300,22.75,6825.0,180
190,2024-01-01,WH04,SKU010,300,0,0,0,300,24.18,7254.0,180
191,2024-01-01,WH04,SKU011,300,235,0,0,535,25.61,13701.35,180
192,2024-01-01,WH04,SKU012,300,0,0,0,300,9.92,2976.0,180
193,2024-01-01,WH04,SKU013,300,0,0,0,300,13.83,4149.0,180
194,2024-01-01,WH04,SKU014,300,215,0,0,515,15.25,7853.75,180
195,2024-01-01,WH04,SKU015,300,0,0,0,300,16.68,5004.0,180
196,2024-01-01,WH04,SKU016,300,0,0,0,300,18.1,5430.0,180
197,2024-01-01,WH04,SKU017,300,216,0,0,516,19.53,10077.48,180
198,2024-01-01,WH04,SKU018,300,0,0,0,300,20.96,6288.0,180
199,2024-01-01,WH04,SKU019,300,0,0,0,300,22.38,6714.0,180
200,2024-01-01,WH04,SKU020,300,181,0,0,481,23.81,11452.61,180
201,2024-01-01,WH04,SKU021,300,0,0,0,300,25.23,7569.0,180
202,2024-01-01,WH04,SKU022,300,0,0,0,300,26.66,7998.0,180
203,2024-01-01,WH04,SKU023,300,171,0,0,471,28.09,13230.39,180
204,2024-01-01,WH04,SKU024,300,0,0,0,300,12.4,3720.0,180
205,2024-01-01,WH04,SKU025,300,0,0,0,300,16.31,4893.0,180
206,2024-01-01,WH04,SKU026,300,245,0,0,545,17.73,9662.85,180
207,2024-01-01,WH04,SKU027,300,0,0,0,300,19.16,5748.0,180
208,2024-01-01,WH04,SKU028,300,0,0,0,300,20.58,6174.0,180
209,2024-01-01,WH04,SKU029,300,244,0,0,544,22.01,11973.44,180
210,2024-01-01,WH04,SKU030,300,0,0,0,300,23.44,7032.0,180
211,2024-01-01,WH04,SKU031,300,0,0,0,300,24.86,7458.0,180
212,2024-01-01,WH04,SKU032,300,215,0,0,515,26.29,13539.35,180
213,2024-01-01,WH04,SKU033,300,0,0,0,300,27.71,8313.0,180
214,2024-01-01,WH04,SKU034,300,0,0,0,300,29.14,8742.0,180
215,2024-01-01,WH04,SKU035,300,212,0,0,512,30.57,15651.84,180
216,2024-01-01,WH04,SKU036,300,0,0,0,300,14.88,4464.0,180
217,2024-01-01,WH04,SKU037,300,0,0,0,300,18.79,5637.0,180
218,2024-01-01,WH04,SKU038,300,215,0,0,515,20.21,10408.15,180
219,2024-01-01,WH04,SKU039,300,0,0,0,300,21.64,6492.0,180
220,2024-01-01,WH04,SKU040,300,0,0,0,300,23.06,6918.0,180
221,2024-01-01,WH04,SKU041,300,192,0,0,492,24.49,12049.08,180
222,2024-01-01,WH04,SKU042,300,0,0,0,300,25.92,7776.0,180
223,2024-01-01,WH04,SKU043,300,0,0,0,300,27.34,8202.0,180
224,2024-01-01,WH04,SKU044,300,234,0,0,534,28.77,15363.18,180
225,2024-01-01,WH04,SKU045,300,0,0,0,300,30.19,9057.0,180
226,2024-01-01,WH04,SKU046,300,0,0,0,300,31.62,9486.0,180
227,2024-01-01,WH04,SKU047,300,204,0,0,504,33.05,16657.2,180
228,2024-01-01,WH04,SKU048,300,0,0,0,300,17.36,5208.0,180
229,2024-01-01,WH04,SKU049,300,0,0,0,300,21.27,6381.0,180
230,2024-01-01,WH04,SKU050,300,179,0,0,479,22.69,10868.51,180
231,2024-01-01,WH04,SKU051,300,0,0,0,300,24.12,7236.0,180
232,2024-01-01,WH04,SKU052,300,0,0,0,300,25.54,7662.0,180
233,2024-01-01,WH04,SKU053,300,173,0,0,473,26.97,12756.81,180
234,2024-01-01,WH04,SKU054,300,0,0,0,300,28.4,8520.0,180
235,2024-01-01,WH04,SKU055,300,0,0,0,300,29.82,8946.0,180
236,2024-01-01,WH04,SKU056,300,239,0,0,539,31.25,16843.75,180
237,2024-01-01,WH04,SKU057,300,0,0,0,300,32.67,9801.0,180
238,2024-01-01,WH04,SKU058,300,0,0,0,300,34.1,10230.0,180
239,2024-01-01,WH04,SKU059,300,200,0,0,500,35.53,17765.0,180
240,2024-01-01,WH04,SKU060,300,0,0,0,300,19.84,5952.0,180
241,2024-01-02,WH01,SKU001,300,190,0,0,490,11.35,5561.5,180
242,2024-01-02,WH01,SKU002,480,0,0,0,480,12.77,6129.6,180
243,2024-01-02,WH01,SKU003,300,0,0,0,300,14.2,4260.0,180
244,2024-01-02,WH01,SKU004,300,223,0,0,523,15.62,8169.26,180
245,2024-01-02,WH01,SKU005,512,0,0,0,512,17.05,8729.6,180
246,2024-01-02,WH01,SKU006,300,0,0,0,300,18.48,5544.0,180
247,2024-01-02,WH01,SKU007,300,178,0,0,478,19.9,9512.2,180
248,2024-01-02,WH01,SKU008,537,0,0,0,537,21.33,11454.21,180
249,2024-01-02,WH01,SKU009,300,0,0,0,300,22.75,6825.0,180
250,2024-01-02,WH01,SKU010,300,189,0,0,489,24.18,11824.02,180
251,2024-01-02,WH01,SKU011,503,0,0,0,503,25.61,12881.83,180
252,2024-01-02,WH01,SKU012,300,0,0,0,300,9.92,2976.0,180
253,2024-01-02,WH01,SKU013,300,218,0,0,518,13.83,7163.94,180
254,2024-01-02,WH01,SKU014,527,0,0,0,527,15.25,8036.75,180
255,2024-01-02,WH01,SKU015,300,0,85,0,215,16.68,3586.2,180
256,2024-01-02,WH01,SKU016,300,174,80,0,394,18.1,7131.4,180
257,2024-01-02,WH01,SKU017,522,0,0,0,522,19.53,10194.66,180
258,2024-01-02,WH01,SKU018,299,0,0,0,299,20.96,6267.04,180
259,2024-01-02,WH01,SKU019,300,228,0,0,528,22.38,11816.64,180
260,2024-01-02,WH01,SKU020,486,0,0,0,486,23.81,11571.66,180
261,2024-01-02,WH01,SKU021,300,0,0,0,300,25.23,7569.0,180
262,2024-01-02,WH01,SKU022,300,200,0,0,500,26.66,13330.0,180
263,2024-01-02,WH01,SKU023,472,0,110,0,362,28.09,10168.58,180
264,2024-01-02,WH01,SKU024,300,0,0,0,300,12.4,3720.0,180
265,2024-01-02,WH01,SKU025,300,190,0,0,490,16.31,7991.9,180
266,2024-01-02,WH01,SKU026,500,0,48,0,452,17.73,8013.96,180
267,2024-01-02,WH01,SKU027,300,0,102,0,198,19.16,3793.68,180
268,2024-01-02,WH01,SKU028,300,225,96,0,429,20.58,8828.82,180
269,2024-01-02,WH01,SKU029,499,0,0,0,499,22.01,10982.99,180
270,2024-01-02,WH01,SKU030,300,0,0,0,300,23.44,7032.0,180
271,2024-01-02,WH01,SKU031,300,183,60,0,423,24.86,10515.78,180
272,2024-01-02,WH01,SKU032,515,0,0,0,515,26.29,13539.35,180
273,2024-01-02,WH01,SKU033,300,0,0,0,300,27.71,8313.0,180
274,2024-01-02,WH01,SKU034,300,198,0,0,498,29.14,14511.72,180
275,2024-01-02,WH01,SKU035,498,0,0,0,498,30.57,15223.86,180
276,2024-01-02,WH01,SKU036,300,0,0,0,300,14.88,4464.0,180
277,2024-01-02,WH01,SKU037,300,215,0,0,515,18.79,9676.85,180
278,2024-01-02,WH01,SKU038,495,0,0,0,495,20.21,10003.95,180
279,2024-01-02,WH01,SKU039,300,0,0,0,300,21.64,6492.0,180
280,2024-01-02,WH01,SKU040,300,188,41,0,447,23.06,10307.82,180
281,2024-01-02,WH01,SKU041,498,0,0,0,498,24.49,12196.02,180
282,2024-01-02,WH01,SKU042,300,0,0,0,300,25.92,7776.0,180
283,2024-01-02,WH01,SKU043,300,231,68,0,463,27.34,12658.42,180
284,2024-01-02,WH01,SKU044,471,0,0,0,471,28.77,13550.67,180
285,2024-01-02,WH01,SKU045,300,0,64,0,236,30.19,7124.84,180
286,2024-01-02,WH01,SKU046,300,178,0,0,478,31.62,15114.36,180
287,2024-01-02,WH01,SKU047,506,0,0,0,506,33.05,16723.3,180
288,2024-01-02,WH01,SKU048,300,0,0,0,300,17.36,5208.0,180
289,2024-01-02,WH01,SKU049,300,217,0,0,517,21.27,10996.59,180
290,2024-01-02,WH01,SKU050,514,0,0,0,514,22.69,11662.66,180
291,2024-01-02,WH01,SKU051,300,0,0,0,300,24.12,7236.0,180
292,2024-01-02,WH01,SKU052,300,241,54,0,487,25.54,12437.98,180
293,2024-01-02,WH01,SKU053,510,0,0,0,510,26.97,13754.7,180
294,2024-01-02,WH01,SKU054,300,0,0,0,300,28.4,8520.0,180
295,2024-01-02,WH01,SKU055,300,214,0,0,514,29.82,15327.48,180
296,2024-01-02,WH01,SKU056,479,0,0,0,479,31.25,14968.75,180
297,2024-01-02,WH01,SKU057,300,0,109,0,191,32.67,6239.97,180
298,2024-01-02,WH01,SKU058,300,218,0,1,517,34.1,17629.7,180
299,2024-01-02,WH01,SKU059,492,0,0,0,492,35.53,17480.76,180
300,2024-01-02,WH01,SKU060,300,0,0,0,300,19.84,5952.0,180
301,2024-01-02,WH02,SKU001,532,0,0,0,532,11.35,6038.2,180
302,2024-01-02,WH02,SKU002,300,0,0,0,300,12.77,3831.0,180
303,2024-01-02,WH02,SKU003,300,213,0,0,513,14.2,7284.6,180
304,2024-01-02,WH02,SKU004,518,0,0,0,518,15.62,8091.16,180
305,2024-01-02,WH02,SKU005,300,0,0,0,300,17.05,5115.0,180
306,2024-01-02,WH02,SKU006,300,209,0,0,509,18.48,9406.32,180
307,2024-01-02,WH02,SKU007,511,0,0,0,511,19.9,10168.9,180
308,2024-01-02,WH02,SKU008,300,0,0,0,300,21.33,6399.0,180
309,2024-01-02,WH02,SKU009,300,180,0,0,480,22.75,10920.0,180
310,2024-01-02,WH02,SKU010,505,0,0,0,505,24.18,12210.9,180
311,2024-01-02,WH02,SKU011,300,0,0,0,300,25.61,7683.0,180
312,2024-01-02,WH02,SKU012,300,225,0,0,525,9.92,5208.0,180
313,2024-01-02,WH02,SKU013,483,0,0,0,483,13.83,6679.89,180
314,2024-01-02,WH02,SKU014,300,0,0,0,300,15.25,4575.0,180
315,2024-01-02,WH02,SKU015,300,233,51,0,482,16.68,8039.76,180
316,2024-01-02,WH02,SKU016,486,0,0,0,486,18.1,8796.6,180
317,2024-01-02,WH02,SKU017,300,0,0,0,300,19.53,5859.0,180
318,2024-01-02,WH02,SKU018,300,179,36,0,443,20.96,9285.28,180
319,2024-01-02,WH02,SKU019,518,0,0,0,518,22.38,11592.84,180
320,2024-01-02,WH02,SKU020,300,0,119,0,181,23.81,4309.61,180
321,2024-01-02,WH02,SKU021,300,206,56,0,450,25.23,11353.5,180
322,2024-01-02,WH02,SKU022,490,0,0,0,490,26.66,13063.4,180
323,2024-01-02,WH02,SKU023,300,0,0,0,300,28.09,8427.0,180
324,2024-01-02,WH02,SKU024,300,202,0,0,502,12.4,6224.8,180
325,2024-01-02,WH02,SKU025,496,0,0,0,496,16.31,8089.76,180
326,2024-01-02,WH02,SKU026,300,0,0,0,300,17.73,5319.0,180
327,2024-01-02,WH02,SKU027,300,194,0,0,494,19.16,9465.04,180
328,2024-01-02,WH02,SKU028,511,0,0,0,511,20.58,10516.38,180
329,2024-01-02,WH02,SKU029,300,0,0,0,300,22.01,6603.0,180
330,2024-01-02,WH02,SKU030,300,209,0,0,509,23.44,11930.96,180
331,2024-01-02,WH02,SKU031,494,0,0,0,494,24.86,12280.84,180
332,2024-01-02,WH02,SKU032,300,0,0,0,300,26.29,7887.0,180
333,2024-01-02,WH02,SKU033,300,195,49,0,446,27.71,12358.66,180
334,2024-01-02,WH02,SKU034,496,0,0,0,496,29.14,14453.44,180
335,2024-01-02,WH02,SKU035,300,0,0,0,300,30.57,9171.0,180
336,2024-01-02,WH02,SKU036,300,230,0,0,530,14.88,7886.4,180
337,2024-01-02,WH02,SKU037,497,0,0,0,497,18.79,9338.63,180
338,2024-01-02,WH02,SKU038,300,0,0,0,300,20.21,6063.0,180
339,2024-01-02,WH02,SKU039,300,220,0,0,520,21.64,11252.8,180
340,2024-01-02,WH02,SKU040,505,0,111,0,394,23.06,9085.64,180
341,2024-01-02,WH02,SKU041,300,0,0,0,300,24.49,7347.0,180
342,2024-01-02,WH02,SKU042,300,206,110,0,396,25.92,10264.32,180
343,2024-01-02,WH02,SKU043,505,0,0,0,505,27.34,13806.7,180
344,2024-01-02,WH02,SKU044,300,0,0,0,300,28.77,8631.0,180
345,2024-01-02,WH02,SKU045,300,206,0,0,506,30.19,15276.14,180
346,2024-01-02,WH02,SKU046,487,0,64,0,423,31.62,13375.26,180
347,2024-01-02,WH02,SKU047,300,0,0,0,300,33.05,9915.0,180
348,2024-01-02,WH02,SKU048,300,203,0,0,503,17.36,8732.08,180
349,2024-01-02,WH02,SKU049,488,0,0,0,488,21.27,10379.76,180
350,2024-01-02,WH02,SKU050,300,0,0,0,300,22.69,6807.0,180
351,2024-01-02,WH02,SKU051,300,196,0,0,496,24.12,11963.52,180
352,2024-01-02,WH02,SKU052,471,0,0,0,471,25.54,12029.34,180
353,2024-01-02,WH02,SKU053,300,0,194,0,106,26.97,2858.82,180
