POReceiptID,PONumber,SupplierID,SupplierName,MaterialID,MaterialName,MaterialUOM,PlantID,PODate,PromisedReceiptDate,ActualReceiptDate,OrderedQty,ReceivedQty,RejectedQty,ContractUnitPriceGBP,ActualUnitPriceGBP,InvoiceAmountGBP
15,PO0000015,SUP001,Fictional Supplier 01,MAT003,Ingredient 03,KG,PL03,2023-12-11,2024-01-01,2024-01-01,6673,6673,27,0.51,0.51,3403.23
16,PO0000016,SUP017,Fictional Supplier 17,MAT004,Ingredient 04,KG,PL04,2023-12-23,2024-01-03,2024-01-01,6263,6263,31,0.63,0.62,3883.06
17,PO0000017,SUP010,Fictional Supplier 10,MAT009,Ingredient 09,KG,PL02,2023-12-23,2024-01-03,2024-01-01,5438,5438,112,1.23,1.26,6851.88
18,PO0000018,SUP010,Fictional Supplier 10,MAT012,Packaging 12,PCS,PL01,2023-12-11,2023-12-30,2024-01-01,4750,4750,5,1.59,1.63,7742.5
19,PO0000019,SUP017,Fictional Supplier 17,MAT011,Packaging 11,PCS,PL02,2023-12-19,2023-12-31,2024-01-01,2258,2258,49,1.47,1.45,3274.1
20,PO0000020,SUP013,Fictional Supplier 13,MAT008,Ingredient 08,KG,PL02,2023-12-20,2024-01-03,2024-01-01,1121,1121,2,1.11,1.09,1221.89
21,PO0000021,SUP018,Fictional Supplier 18,MAT019,Packaging 19,PCS,PL04,2023-12-11,2023-12-30,2024-01-01,757,757,2,2.43,2.38,1801.66
22,PO0000022,SUP012,Fictional Supplier 12,MAT016,Packaging 16,PCS,PL01,2023-12-16,2024-01-01,2024-01-01,1966,1966,27,2.07,2.1,4128.6
23,PO0000023,SUP016,Fictional Supplier 16,MAT006,Ingredient 06,KG,PL02,2023-12-23,2024-01-02,2024-01-01,4713,4713,18,0.87,0.86,4053.18
24,PO0000024,SUP017,Fictional Supplier 17,MAT017,Packaging 17,PCS,PL02,2023-12-15,2024-01-03,2024-01-01,3021,3021,16,2.19,2.18,6585.78
25,PO0000025,SUP008,Fictional Supplier 08,MAT011,Packaging 11,PCS,PL01,2023-12-13,2023-12-30,2024-01-02,6992,6992,11,1.47,1.53,10697.76
26,PO0000026,SUP019,Fictional Supplier 19,MAT019,Packaging 19,PCS,PL02,2023-12-18,2024-01-01,2024-01-02,6521,6521,104,2.43,2.44,15911.24
27,PO0000027,SUP014,Fictional Supplier 14,MAT008,Ingredient 08,KG,PL01,2023-12-21,2024-01-01,2024-01-02,6417,6417,131,1.11,1.08,6930.36
28,PO0000028,SUP022,Fictional Supplier 22,MAT011,Packaging 11,PCS,PL04,2023-12-17,2024-01-03,2024-01-02,5425,5425,36,1.47,1.46,7920.5
29,PO0000029,SUP014,Fictional Supplier 14,MAT002,Ingredient 02,KG,PL01,2023-12-19,2024-01-01,2024-01-02,1387,1387,5,0.39,0.38,527.06
30,PO0000030,SUP013,Fictional Supplier 13,MAT018,Packaging 18,PCS,PL04,2023-12-20,2024-01-03,2024-01-02,5498,5498,62,2.31,2.37,13030.26
31,PO0000031,SUP005,Fictional Supplier 05,MAT001,Ingredient 01,KG,PL02,2023-12-17,2024-01-03,2024-01-02,4133,4133,54,0.27,0.27,1115.91
32,PO0000032,SUP021,Fictional Supplier 21,MAT001,Ingredient 01,KG,PL01,2023-12-15,2024-01-02,2024-01-02,2716,2716,28,0.27,0.27,733.32
33,PO0000033,SUP006,Fictional Supplier 06,MAT020,Packaging 20,PCS,PL02,2023-12-21,2024-01-04,2024-01-02,1368,1368,4,2.55,2.55,3488.4
34,PO0000034,SUP010,Fictional Supplier 10,MAT019,Packaging 19,PCS,PL03,2023-12-22,2024-01-03,2024-01-02,2111,2111,25,2.43,2.45,5171.95
35,PO0000035,SUP009,Fictional Supplier 09,MAT007,Ingredient 07,KG,PL01,2023-12-24,2024-01-01,2024-01-02,5032,5032,42,0.99,0.99,4981.68
36,PO0000036,SUP019,Fictional Supplier 19,MAT019,Packaging 19,PCS,PL03,2023-12-17,2024-01-04,2024-01-02,1424,1424,3,2.43,2.45,3488.8
37,PO0000037,SUP012,Fictional Supplier 12,MAT015,Packaging 15,PCS,PL02,2023-12-25,2024-01-03,2024-01-02,3436,3436,31,1.95,1.94,6665.84
38,PO0000038,SUP006,Fictional Supplier 06,MAT018,Packaging 18,PCS,PL04,2023-12-16,2023-12-31,2024-01-02,4458,4458,32,2.31,2.31,10297.98
39,PO0000039,SUP009,Fictional Supplier 09,MAT013,Packaging 13,PCS,PL04,2023-12-17,2023-12-31,2024-01-02,3931,3931,69,1.71,1.67,6564.77
40,PO0000040,SUP021,Fictional Supplier 21,MAT017,Packaging 17,PCS,PL01,2023-12-25,2024-01-04,2024-01-02,6817,6817,100,2.19,2.18,14861.06
41,PO0000041,SUP008,Fictional Supplier 08,MAT005,Ingredient 05,KG,PL03,2023-12-17,2024-01-04,2024-01-02,2001,2001,45,0.75,0.76,1520.76
42,PO0000042,SUP023,Fictional Supplier 23,MAT005,Ingredient 05,KG,PL02,2023-12-21,2024-01-02,2024-01-02,3145,3145,8,0.75,0.77,2421.65
43,PO0000043,SUP016,Fictional Supplier 16,MAT006,Ingredient 06,KG,PL04,2023-12-25,2024-01-04,2024-01-02,1784,1784,30,0.87,0.89,1587.76
44,PO0000044,SUP002,Fictional Supplier 02,MAT003,Ingredient 03,KG,PL01,2023-12-21,2024-01-03,2024-01-02,3812,3812,18,0.51,0.5,1906.0
45,PO0000045,SUP001,Fictional Supplier 01,MAT011,Packaging 11,PCS,PL01,2023-12-13,2024-01-04,2024-01-02,5067,5067,119,1.47,1.5,7600.5
46,PO0000046,SUP016,Fictional Supplier 16,MAT020,Packaging 20,PCS,PL04,2023-12-19,2024-01-03,2024-01-02,3495,3495,65,2.55,2.48,8667.6
47,PO0000047,SUP002,Fictional Supplier 02,MAT010,Ingredient 10,KG,PL03,2023-12-12,2023-12-31,2024-01-02,5950,5950,34,1.35,1.39,8270.5
48,PO0000048,SUP001,Fictional Supplier 01,MAT015,Packaging 15,PCS,PL04,2023-12-12,2023-12-31,2024-01-02,4636,4636,82,1.95,1.97,9132.92
49,PO0000049,SUP013,Fictional Supplier 13,MAT001,Ingredient 01,KG,PL02,2023-12-12,2023-12-31,2024-01-03,1045,1045,2,0.27,0.28,292.6
50,PO0000050,SUP006,Fictional Supplier 06,MAT012,Packaging 12,PCS,PL04,2023-12-10,2023-12-31,2024-01-03,2819,2819,45,1.59,1.62,4566.78
51,PO0000051,SUP010,Fictional Supplier 10,MAT016,Packaging 16,PCS,PL01,2023-12-16,2023-12-31,2024-01-03,1205,1205,2,2.07,2.02,2434.1
52,PO0000052,SUP010,Fictional Supplier 10,MAT004,Ingredient 04,KG,PL03,2023-12-18,2024-01-05,2024-01-03,7338,7338,145,0.63,0.62,4549.56
53,PO0000053,SUP004,Fictional Supplier 04,MAT001,Ingredient 01,KG,PL02,2023-12-13,2024-01-02,2024-01-03,3217,3217,2,0.27,0.26,836.42
54,PO0000054,SUP019,Fictional Supplier 19,MAT008,Ingredient 08,KG,PL02,2023-12-19,2024-01-05,2024-01-03,2076,2076,24,1.11,1.11,2304.36
55,PO0000055,SUP020,Fictional Supplier 20,MAT014,Packaging 14,PCS,PL01,2023-12-24,2024-01-02,2024-01-03,2795,2795,65,1.83,1.89,5282.55
56,PO0000056,SUP013,Fictional Supplier 13,MAT010,Ingredient 10,KG,PL01,2023-12-24,2024-01-02,2024-01-03,1375,1375,17,1.35,1.38,1897.5
57,PO0000057,SUP009,Fictional Supplier 09,MAT009,Ingredient 09,KG,PL04,2023-12-12,2024-01-01,2024-01-03,3729,3729,29,1.23,1.26,4698.54
58,PO0000058,SUP009,Fictional Supplier 09,MAT010,Ingredient 10,KG,PL01,2023-12-20,2024-01-04,2024-01-03,3151,3151,69,1.35,1.36,4285.36
59,PO0000059,SUP020,Fictional Supplier 20,MAT016,Packaging 16,PCS,PL03,2023-12-14,2024-01-04,2024-01-03,1458,1458,6,2.07,2.04,2974.32
60,PO0000060,SUP013,Fictional Supplier 13,MAT014,Packaging 14,PCS,PL03,2023-12-27,2024-01-04,2024-01-03,5441,5441,104,1.83,1.86,10120.26
61,PO0000061,SUP008,Fictional Supplier 08,MAT014,Packaging 14,PCS,PL03,2023-12-14,2024-01-03,2024-01-03,3126,3126,28,1.83,1.86,5814.36
62,PO0000062,SUP014,Fictional Supplier 14,MAT008,Ingredient 08,KG,PL01,2023-12-14,2024-01-02,2024-01-03,1764,1764,13,1.11,1.15,2028.6
63,PO0000063,SUP006,Fictional Supplier 06,MAT001,Ingredient 01,KG,PL04,2023-12-14,2024-01-03,2024-01-03,1491,1491,8,0.27,0.27,402.57
64,PO0000064,SUP008,Fictional Supplier 08,MAT010,Ingredient 10,KG,PL02,2023-12-23,2023-12-31,2024-01-03,1733,1733,5,1.35,1.34,2322.22
65,PO0000065,SUP011,Fictional Supplier 11,MAT004,Ingredient 04,KG,PL02,2023-12-17,2024-01-05,2024-01-03,3481,3481,0,0.63,0.62,2158.22
66,PO0000066,SUP022,Fictional Supplier 22,MAT009,Ingredient 09,KG,PL04,2023-12-26,2024-01-02,2024-01-03,3905,3905,52,1.23,1.26,4920.3
67,PO0000067,SUP009,Fictional Supplier 09,MAT013,Packaging 13,PCS,PL01,2023-12-24,2023-12-31,2024-01-03,3734,3734,4,1.71,1.74,6497.16
68,PO0000068,SUP022,Fictional Supplier 22,MAT012,Packaging 12,PCS,PL03,2023-12-26,2024-01-04,2024-01-03,7424,7424,49,1.59,1.57,11655.68
69,PO0000069,SUP021,Fictional Supplier 21,MAT007,Ingredient 07,KG,PL04,2023-12-13,2024-01-04,2024-01-03,3826,3826,93,0.99,1.0,3826.0
70,PO0000070,SUP023,Fictional Supplier 23,MAT008,Ingredient 08,KG,PL01,2023-12-11,2024-01-01,2024-01-03,1822,1822,45,1.11,1.1,2004.2
71,PO0000071,SUP017,Fictional Supplier 17,MAT008,Ingredient 08,KG,PL01,2023-12-26,2024-01-05,2024-01-03,1505,1505,5,1.11,1.13,1700.65
72,PO0000072,SUP003,Fictional Supplier 03,MAT009,Ingredient 09,KG,PL01,2023-12-18,2023-12-31,2024-01-03,3050,3050,29,1.23,1.27,3873.5
73,PO0000073,SUP018,Fictional Supplier 18,MAT011,Packaging 11,PCS,PL01,2023-12-12,2024-01-01,2024-01-04,2071,2071,36,1.47,1.51,3127.21
74,PO0000074,SUP017,Fictional Supplier 17,MAT004,Ingredient 04,KG,PL03,2023-12-26,2024-01-05,2024-01-04,6179,6179,127,0.63,0.62,3830.98
75,PO0000075,SUP008,Fictional Supplier 08,MAT001,Ingredient 01,KG,PL03,2023-12-23,2024-01-03,2024-01-04,7672,7672,104,0.27,0.28,2148.16
76,PO0000076,SUP003,Fictional Supplier 03,MAT013,Packaging 13,PCS,PL04,2023-12-18,2024-01-03,2024-01-04,6738,6738,119,1.71,1.7,11454.6
77,PO0000077,SUP003,Fictional Supplier 03,MAT015,Packaging 15,PCS,PL03,2023-12-22,2024-01-03,2024-01-04,1740,1740,29,1.95,1.92,3340.8
78,PO0000078,SUP014,Fictional Supplier 14,MAT009,Ingredient 09,KG,PL03,2023-12-19,2024-01-03,2024-01-04,894,894,1,1.23,1.2,1072.8
79,PO0000079,SUP010,Fictional Supplier 10,MAT003,Ingredient 03,KG,PL02,2023-12-22,2024-01-01,2024-01-04,2694,2694,59,0.51,0.52,1400.88
80,PO0000080,SUP007,Fictional Supplier 07,MAT017,Packaging 17,PCS,PL03,2023-12-20,2024-01-06,2024-01-04,6172,6172,114,2.19,2.24,13825.28
81,PO0000081,SUP019,Fictional Supplier 19,MAT005,Ingredient 05,KG,PL01,2023-12-23,2024-01-06,2024-01-04,3567,3567,17,0.75,0.77,2746.59
82,PO0000082,SUP009,Fictional Supplier 09,MAT014,Packaging 14,PCS,PL03,2023-12-24,2024-01-04,2024-01-04,1816,1816,19,1.83,1.82,3305.12
83,PO0000083,SUP017,Fictional Supplier 17,MAT015,Packaging 15,PCS,PL02,2023-12-12,2024-01-02,2024-01-04,1357,1357,0,1.95,1.95,2646.15
84,PO0000084,SUP003,Fictional Supplier 03,MAT002,Ingredient 02,KG,PL01,2023-12-19,2024-01-03,2024-01-04,3908,3908,0,0.39,0.39,1524.12
85,PO0000085,SUP019,Fictional Supplier 19,MAT015,Packaging 15,PCS,PL04,2023-12-24,2024-01-01,2024-01-04,3658,3658,89,1.95,1.96,7169.68
86,PO0000086,SUP008,Fictional Supplier 08,MAT013,Packaging 13,PCS,PL01,2023-12-13,2024-01-01,2024-01-04,5553,5553,6,1.71,1.69,9384.57
87,PO0000087,SUP011,Fictional Supplier 11,MAT018,Packaging 18,PCS,PL04,2023-12-14,2024-01-06,2024-01-04,6860,6860,167,2.31,2.26,15503.6
88,PO0000088,SUP004,Fictional Supplier 04,MAT019,Packaging 19,PCS,PL01,2023-12-23,2024-01-06,2024-01-04,4953,4953,30,2.43,2.44,12085.32
89,PO0000089,SUP021,Fictional Supplier 21,MAT013,Packaging 13,PCS,PL01,2023-12-13,2024-01-02,2024-01-04,7208,7208,93,1.71,1.76,12686.08
90,PO0000090,SUP021,Fictional Supplier 21,MAT008,Ingredient 08,KG,PL01,2023-12-20,2024-01-04,2024-01-04,4846,4846,66,1.11,1.14,5524.44
91,PO0000091,SUP001,Fictional Supplier 01,MAT004,Ingredient 04,KG,PL04,2023-12-28,2024-01-05,2024-01-04,966,966,13,0.63,0.63,608.58
92,PO0000092,SUP020,Fictional Supplier 20,MAT012,Packaging 12,PCS,PL03,2023-12-16,2024-01-01,2024-01-04,5137,5137,35,1.59,1.62,8321.94
93,PO0000093,SUP018,Fictional Supplier 18,MAT003,Ingredient 03,KG,PL03,2023-12-18,2024-01-06,2024-01-04,7641,7641,42,0.51,0.5,3820.5
94,PO0000094,SUP012,Fictional Supplier 12,MAT007,Ingredient 07,KG,PL03,2023-12-21,2024-01-05,2024-01-04,5036,5036,23,0.99,1.02,5136.72
95,PO0000095,SUP023,Fictional Supplier 23,MAT012,Packaging 12,PCS,PL03,2023-12-22,2024-01-06,2024-01-04,1927,1927,9,1.59,1.62,3121.74
96,PO0000096,SUP018,Fictional Supplier 18,MAT015,Packaging 15,PCS,PL01,2023-12-23,2024-01-06,2024-01-04,2875,2875,46,1.95,1.94,5577.5
97,PO0000097,SUP023,Fictional Supplier 23,MAT013,Packaging 13,PCS,PL03,2023-12-14,2024-01-03,2024-01-05,1896,1896,35,1.71,1.68,3185.28
98,PO0000098,SUP008,Fictional Supplier 08,MAT001,Ingredient 01,KG,PL01,2023-12-12,2024-01-02,2024-01-05,3248,3248,63,0.27,0.27,876.96
99,PO0000099,SUP020,Fictional Supplier 20,MAT020,Packaging 20,PCS,PL01,2023-12-28,2024-01-04,2024-01-05,7196,7196,29,2.55,2.49,17918.04
100,PO0000100,SUP004,Fictional Supplier 04,MAT011,Packaging 11,PCS,PL03,2023-12-17,2024-01-06,2024-01-05,4376,4376,24,1.47,1.47,6432.72
101,PO0000101,SUP010,Fictional Supplier 10,MAT011,Packaging 11,PCS,PL02,2023-12-16,2024-01-05,2024-01-05,5787,5787,47,1.47,1.51,8738.37
102,PO0000102,SUP001,Fictional Supplier 01,MAT007,Ingredient 07,KG,PL01,2023-12-22,2024-01-05,2024-01-05,895,895,17,0.99,0.99,886.05
103,PO0000103,SUP020,Fictional Supplier 20,MAT016,Packaging 16,PCS,PL03,2023-12-15,2024-01-04,2024-01-05,1407,1407,2,2.07,2.14,3010.98
104,PO0000104,SUP009,Fictional Supplier 09,MAT016,Packaging 16,PCS,PL01,2023-12-25,2024-01-07,2024-01-05,3169,3169,39,2.07,2.01,6369.69
105,PO0000105,SUP009,Fictional Supplier 09,MAT015,Packaging 15,PCS,PL02,2023-12-16,2024-01-04,2024-01-05,7658,7658,79,1.95,1.91,14626.78
106,PO0000106,SUP014,Fictional Supplier 14,MAT014,Packaging 14,PCS,PL03,2023-12-19,2024-01-02,2024-01-05,1323,1323,28,1.83,1.78,2354.94
107,PO0000107,SUP003,Fictional Supplier 03,MAT008,Ingredient 08,KG,PL01,2023-12-17,2024-01-05,2024-01-05,6487,6487,16,1.11,1.15,7460.05
108,PO0000108,SUP021,Fictional Supplier 21,MAT018,Packaging 18,PCS,PL02,2023-12-26,2024-01-03,2024-01-05,1185,1185,11,2.31,2.3,2725.5
109,PO0000109,SUP015,Fictional Supplier 15,MAT015,Packaging 15,PCS,PL02,2023-12-29,2024-01-05,2024-01-05,6097,6097,66,1.95,1.99,12133.03
110,PO0000110,SUP021,Fictional Supplier 21,MAT014,Packaging 14,PCS,PL03,2023-12-23,2024-01-03,2024-01-05,5047,5047,9,1.83,1.83,9236.01
111,PO0000111,SUP019,Fictional Supplier 19,MAT007,Ingredient 07,KG,PL02,2023-12-21,2024-01-07,2024-01-05,507,507,8,0.99,1.0,507.0
112,PO0000112,SUP023,Fictional Supplier 23,MAT004,Ingredient 04,KG,PL01,2023-12-18,2024-01-03,2024-01-05,5730,5730,0,0.63,0.64,3667.2
113,PO0000113,SUP022,Fictional Supplier 22,MAT006,Ingredient 06,KG,PL02,2023-12-15,2024-01-04,2024-01-05,5517,5517,20,0.87,0.88,4854.96
114,PO0000114,SUP022,Fictional Supplier 22,MAT016,Packaging 16,PCS,PL02,2023-12-15,2024-01-07,2024-01-05,6524,6524,155,2.07,2.13,13896.12
115,PO0000115,SUP023,Fictional Supplier 23,MAT009,Ingredient 09,KG,PL02,2023-12-24,2024-01-05,2024-01-05,6010,6010,42,1.23,1.24,7452.4
116,PO0000116,SUP006,Fictional Supplier 06,MAT010,Ingredient 10,KG,PL02,2023-12-19,2024-01-03,2024-01-05,3533,3533,78,1.35,1.39,4910.87
117,PO0000117,SUP005,Fictional Supplier 05,MAT005,Ingredient 05,KG,PL02,2023-12-25,2024-01-07,2024-01-05,3813,3813,49,0.75,0.76,2897.88
118,PO0000118,SUP014,Fictional Supplier 14,MAT007,Ingredient 07,KG,PL01,2023-12-22,2024-01-05,2024-01-05,5193,5193,93,0.99,0.99,5141.07
119,PO0000119,SUP011,Fictional Supplier 11,MAT002,Ingredient 02,KG,PL02,2023-12-17,2024-01-03,2024-01-05,3504,3504,6,0.39,0.39,1366.56
120,PO0000120,SUP008,Fictional Supplier 08,MAT005,Ingredient 05,KG,PL01,2023-12-22,2024-01-03,2024-01-05,7022,7022,139,0.75,0.73,5126.06
121,PO0000121,SUP002,Fictional Supplier 02,MAT002,Ingredient 02,KG,PL02,2023-12-22,2024-01-03,2024-01-06,6576,6576,10,0.39,0.4,2630.4
122,PO0000122,SUP010,Fictional Supplier 10,MAT004,Ingredient 04,KG,PL01,2023-12-22,2024-01-06,2024-01-06,5813,5813,25,0.63,0.62,3604.06
123,PO0000123,SUP021,Fictional Supplier 21,MAT017,Packaging 17,PCS,PL02,2023-12-20,2024-01-07,2024-01-06,2601,2601,8,2.19,2.21,5748.21
124,PO0000124,SUP006,Fictional Supplier 06,MAT008,Ingredient 08,KG,PL03,2023-12-17,2024-01-05,2024-01-06,7369,7369,114,1.11,1.1,8105.9
125,PO0000125,SUP009,Fictional Supplier 09,MAT010,Ingredient 10,KG,PL01,2023-12-23,2024-01-04,2024-01-06,5103,5103,125,1.35,1.31,6684.93
126,PO0000126,SUP006,Fictional Supplier 06,MAT004,Ingredient 04,KG,PL03,2023-12-24,2024-01-08,2024-01-06,5218,5218,75,0.63,0.65,3391.7
127,PO0000127,SUP012,Fictional Supplier 12,MAT013,Packaging 13,PCS,PL04,2023-12-18,2024-01-03,2024-01-06,6727,6727,107,1.71,1.68,11301.36
128,PO0000128,SUP007,Fictional Supplier 07,MAT010,Ingredient 10,KG,PL01,2023-12-24,2024-01-05,2024-01-06,2570,2570,8,1.35,1.31,3366.7
129,PO0000129,SUP019,Fictional Supplier 19,MAT016,Packaging 16,PCS,PL02,2023-12-26,2024-01-05,2024-01-06,5039,5039,48,2.07,2.12,10682.68
130,PO0000130,SUP005,Fictional Supplier 05,MAT008,Ingredient 08,KG,PL02,2023-12-28,2024-01-06,2024-01-06,7120,7120,91,1.11,1.09,7760.8
131,PO0000131,SUP021,Fictional Supplier 21,MAT013,Packaging 13,PCS,PL03,2023-12-20,2024-01-05,2024-01-06,7146,7146,139,1.71,1.71,12219.66
132,PO0000132,SUP005,Fictional Supplier 05,MAT013,Packaging 13,PCS,PL01,2023-12-17,2024-01-03,2024-01-06,5291,5291,105,1.71,1.68,8888.88
133,PO0000133,SUP007,Fictional Supplier 07,MAT017,Packaging 17,PCS,PL04,2023-12-24,2024-01-06,2024-01-06,4500,4500,49,2.19,2.13,9585.0
134,PO0000134,SUP002,Fictional Supplier 02,MAT015,Packaging 15,PCS,PL01,2023-12-28,2024-01-06,2024-01-06,3393,3393,10,1.95,1.96,6650.28
135,PO0000135,SUP024,Fictional Supplier 24,MAT002,Ingredient 02,KG,PL03,2023-12-19,2024-01-03,2024-01-06,1646,1646,38,0.39,0.38,625.48
136,PO0000136,SUP007,Fictional Supplier 07,MAT014,Packaging 14,PCS,PL03,2023-12-25,2024-01-06,2024-01-06,3787,3787,89,1.83,1.8,6816.6
137,PO0000137,SUP024,Fictional Supplier 24,MAT004,Ingredient 04,KG,PL03,2023-12-18,2024-01-08,2024-01-06,6801,6801,48,0.63,0.64,4352.64
138,PO0000138,SUP002,Fictional Supplier 02,MAT009,Ingredient 09,KG,PL04,2023-12-25,2024-01-06,2024-01-06,6884,6884,150,1.23,1.22,8398.48
139,PO0000139,SUP002,Fictional Supplier 02,MAT005,Ingredient 05,KG,PL04,2023-12-27,2024-01-03,2024-01-06,2663,2663,29,0.75,0.75,1997.25
140,PO0000140,SUP004,Fictional Supplier 04,MAT012,Packaging 12,PCS,PL01,2023-12-20,2024-01-06,2024-01-06,4656,4656,114,1.59,1.63,7589.28
141,PO0000141,SUP014,Fictional Supplier 14,MAT011,Packaging 11,PCS,PL02,2023-12-17,2024-01-08,2024-01-06,928,928,20,1.47,1.43,1327.04
142,PO0000142,SUP011,Fictional Supplier 11,MAT010,Ingredient 10,KG,PL02,2023-12-27,2024-01-06,2024-01-06,6241,6241,144,1.35,1.34,8362.94
143,PO0000143,SUP012,Fictional Supplier 12,MAT018,Packaging 18,PCS,PL02,2023-12-29,2024-01-05,2024-01-06,7981,7981,25,2.31,2.25,17957.25
144,PO0000144,SUP012,Fictional Supplier 12,MAT012,Packaging 12,PCS,PL04,2023-12-15,2024-01-05,2024-01-06,3180,3180,65,1.59,1.56,4960.8
145,PO0000145,SUP021,Fictional Supplier 21,MAT011,Packaging 11,PCS,PL01,2023-12-26,2024-01-09,2024-01-07,3514,3514,63,1.47,1.49,5235.86
146,PO0000146,SUP006,Fictional Supplier 06,MAT017,Packaging 17,PCS,PL02,2023-12-31,2024-01-09,2024-01-07,7830,7830,89,2.19,2.16,16912.8
147,PO0000147,SUP007,Fictional Supplier 07,MAT008,Ingredient 08,KG,PL01,2023-12-19,2024-01-06,2024-01-07,7323,7323,56,1.11,1.08,7908.84
148,PO0000148,SUP015,Fictional Supplier 15,MAT017,Packaging 17,PCS,PL03,2023-12-23,2024-01-05,2024-01-07,1544,1544,11,2.19,2.25,3474.0
149,PO0000149,SUP006,Fictional Supplier 06,MAT006,Ingredient 06,KG,PL02,2023-12-28,2024-01-07,2024-01-07,2903,2903,17,0.87,0.85,2467.55
150,PO0000150,SUP022,Fictional Supplier 22,MAT006,Ingredient 06,KG,PL01,2023-12-16,2024-01-04,2024-01-07,7418,7418,118,0.87,0.86,6379.48
151,PO0000151,SUP007,Fictional Supplier 07,MAT008,Ingredient 08,KG,PL02,2023-12-19,2024-01-09,2024-01-07,4746,4746,82,1.11,1.11,5268.06
152,PO0000152,SUP003,Fictional Supplier 03,MAT011,Packaging 11,PCS,PL03,2023-12-28,2024-01-06,2024-01-07,5884,5884,136,1.47,1.51,8884.84
153,PO0000153,SUP023,Fictional Supplier 23,MAT018,Packaging 18,PCS,PL03,2023-12-19,2024-01-07,2024-01-07,2720,2720,6,2.31,2.39,6500.8
154,PO0000154,SUP003,Fictional Supplier 03,MAT020,Packaging 20,PCS,PL02,2023-12-21,2024-01-05,2024-01-07,5573,5573,28,2.55,2.63,14656.99
155,PO0000155,SUP021,Fictional Supplier 21,MAT008,Ingredient 08,KG,PL02,2023-12-26,2024-01-04,2024-01-07,6376,6376,156,1.11,1.08,6886.08
156,PO0000156,SUP012,Fictional Supplier 12,MAT018,Packaging 18,PCS,PL04,2023-12-21,2024-01-04,2024-01-07,4785,4785,68,2.31,2.31,11053.35
157,PO0000157,SUP003,Fictional Supplier 03,MAT013,Packaging 13,PCS,PL04,2023-12-25,2024-01-04,2024-01-07,6377,6377,110,1.71,1.73,11032.21
158,PO0000158,SUP002,Fictional Supplier 02,MAT013,Packaging 13,PCS,PL02,2023-12-26,2024-01-04,2024-01-07,2845,2845,34,1.71,1.69,4808.05
159,PO0000159,SUP023,Fictional Supplier 23,MAT011,Packaging 11,PCS,PL02,2023-12-28,2024-01-06,2024-01-07,5424,5424,71,1.47,1.51,8190.24
